	A1F.fastq.trim.sam.counts	A1S.fastq.trim.sam.counts	A2F.fastq.trim.sam.counts	A2S.fastq.trim.sam.counts	A3F.fastq.trim.sam.counts	A3S.fastq.trim.sam.counts	A4F.fastq.trim.sam.counts	A4S.fastq.trim.sam.counts	A5F.fastq.trim.sam.counts	A5S.fastq.trim.sam.counts	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
AIPGENE10	0	1	3	3	3	1	2	3	2	3	1	1	2	1	4	4	2	4	3	2	
AIPGENE1000	1	1	0	0	0	0	0	1	0	1	1	2	0	1	1	1	0	1	3	1	
AIPGENE10000	127	50	111	77	114	87	103	33	119	55	97	79	143	79	111	70	112	93	92	64	
AIPGENE10001	5	2	3	1	1	1	3	1	1	0	3	3	1	4	2	3	3	0	3	2	
AIPGENE10002	95	87	99	102	71	110	68	52	85	98	89	133	113	92	120	123	104	121	91	140	
AIPGENE10003	5	1	17	0	3	0	7	0	2	0	3	1	2	1	11	3	2	0	2	0	
AIPGENE10004	16	24	17	31	16	20	16	8	24	19	14	19	23	19	14	32	19	18	21	7	
AIPGENE10005	6	3	7	4	2	6	1	0	7	0	4	1	5	3	2	6	8	2	3	6	
AIPGENE10006	5	5	10	12	7	10	4	4	10	6	10	22	11	16	19	13	13	16	9	10	
AIPGENE10007	38	24	41	22	41	24	41	14	58	15	40	37	59	43	65	26	36	40	50	31	
AIPGENE10008	860	470	1269	463	954	608	773	376	1635	461	1305	858	1603	496	1211	834	1374	997	1822	656	
AIPGENE10009	5	3	2	0	2	2	1	2	0	1	6	4	3	2	4	3	4	3	0	3	
AIPGENE1001	2	0	1	0	0	2	2	1	1	1	1	1	3	0	1	1	0	1	0	1	
AIPGENE10010	68	51	71	92	59	69	69	30	66	65	62	71	86	66	72	71	67	64	56	79	
AIPGENE10011	1	1	2	1	0	1	0	0	2	1	0	0	3	0	0	3	1	0	1	1	
AIPGENE10012	57	64	55	79	65	71	51	40	62	62	69	82	92	76	73	80	66	90	52	53	
AIPGENE10013	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
AIPGENE10014	21	7	30	9	20	9	20	1	31	14	36	18	33	20	30	10	19	14	19	14	
AIPGENE10015	1	2	0	3	0	0	2	1	0	1	2	2	1	0	1	2	1	5	2	2	
AIPGENE10016	20	17	17	20	9	25	14	7	14	21	13	17	22	21	12	18	16	23	13	25	
AIPGENE10017	5	5	4	3	6	7	2	3	4	4	4	7	5	2	4	8	4	11	4	4	
AIPGENE10018	1	0	0	0	0	2	1	0	2	1	3	1	1	0	3	0	0	0	0	0	
AIPGENE10019	4	0	4	0	6	3	6	0	4	2	5	6	4	1	7	0	3	3	5	2	
AIPGENE1002	7	3	9	7	3	0	1	1	1	2	8	8	6	2	6	4	5	7	3	4	
AIPGENE10020	235	82	255	118	257	132	233	60	315	70	226	155	272	134	243	117	195	147	196	110	
AIPGENE10021	4	1	3	4	5	3	2	2	4	1	2	6	1	6	3	2	1	4	2	0	
AIPGENE10022	29	9	22	11	14	14	22	5	17	10	21	25	39	15	28	19	33	23	23	19	
AIPGENE10023	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	
AIPGENE10024	41	29	21	43	22	37	29	12	42	27	28	55	36	41	43	27	50	49	29	34	
