name	term	lev	seq	value
"zymogen binding"	GO:0035375	4	isogroup595	-13.2148756303239
"zymogen binding"	GO:0035375	4	isogroup860	1.06141672164813
"zymogen binding"	GO:0035375	4	isogroup2358	-3.00254281364325
"zymogen binding"	GO:0035375	4	isogroup4659	2.51735686995531
"zymogen binding"	GO:0035375	4	isogroup6887	5.11047109470751
"zymogen binding"	GO:0035375	4	isogroup7043	-2.93857666699487
"zymogen binding"	GO:0035375	4	isogroup7095	7.42259490698631
"zymogen binding"	GO:0035375	4	isogroup7411	2.17001452047069
"zymogen binding"	GO:0035375	4	isogroup8005	2.62682601489903
"zymogen binding"	GO:0035375	4	isogroup8198	0.974026067021419
"zymogen binding"	GO:0035375	4	isogroup10883	2.96613815905591
"zymogen binding"	GO:0035375	4	isogroup14367	-4.87100130767301
"zymogen binding"	GO:0035375	4	isogroup15640	3.89918132001695
"zymogen binding"	GO:0035375	4	isogroup20918	1.34777762520652
"zymogen binding"	GO:0035375	4	isogroup20919	2.53013382919552
"zymogen binding"	GO:0035375	4	isogroup21553	3.12641707483548
"zymogen binding"	GO:0035375	4	isogroup22170	5.68810206197795
"peptide hormone binding"	GO:0017046	3	isogroup1050	1.01073763538364
"peptide hormone binding"	GO:0017046	3	isogroup1841	-4.89447900930428
"peptide hormone binding"	GO:0017046	3	isogroup3326	7.41365513248123
"peptide hormone binding"	GO:0017046	3	isogroup3327	2.96575767376441
"peptide hormone binding"	GO:0017046	3	isogroup3983	8.87291633996567
"peptide hormone binding"	GO:0017046	3	isogroup5441	-1.96799139740987
"peptide hormone binding"	GO:0017046	3	isogroup8281	11.0570876431599
"peptide hormone binding"	GO:0017046	3	isogroup8857	3.55370330321684
"peptide hormone binding"	GO:0017046	3	isogroup8893	0.1726299293327
"peptide hormone binding"	GO:0017046	3	isogroup8957	5.16943714868601
"peptide hormone binding"	GO:0017046	3	isogroup9733	-0.24553166868458
"peptide hormone binding"	GO:0017046	3	isogroup9897	0.165829288587668
"peptide hormone binding"	GO:0017046	3	isogroup10874	-0.692298727674651
"peptide hormone binding"	GO:0017046	3	isogroup15668	1.18084680986453
"peptide hormone binding"	GO:0017046	3	isogroup19045	2.6261205270514
"peptide hormone binding"	GO:0017046	3	isogroup20714	0.753014675011271
"peptide hormone binding"	GO:0017046	3	isogroup20746	0.280833261159015
"peptide hormone binding"	GO:0017046	3	isogroup24761	0.682702398251216
"peptide hormone binding"	GO:0017046	3	isogroup26752	1.41615734245859
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup2825	0.84791095021153
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup5557	-4.03694166141547
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup10010	1.09084175593926
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup16636	-4.13308585154805
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup17369	-1.85172266337301
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup18516	2.29175281182742
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup19990	-1.0908968716841
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup20077	14.3156749984463
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup22062	-0.033167395358398
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup22582	-1.23693424924119
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup23620	-5.99492814325923
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup25113	1.09988216672779
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup25165	-19.6719333925321
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup26656	8.16910507253384
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup27896	13.3200638967823
"mitogen-activated protein kinase kinase kinase binding"	GO:0031435	2	isogroup28578	2.52181705288305
"transforming growth factor beta binding"	GO:0050431	3	isogroup6182	-5.93224282871076
"transforming growth factor beta binding"	GO:0050431	3	isogroup8372	-0.374684558038371
"transforming growth factor beta binding"	GO:0050431	3	isogroup13051	8.00961125787849
"transforming growth factor beta binding"	GO:0050431	3	isogroup20632	5.4323678643826
"transforming growth factor beta binding"	GO:0050431	3	isogroup21774	-1.98164407541244
"transforming growth factor beta binding"	GO:0050431	3	isogroup25165	-19.6719333925321
"transforming growth factor beta binding"	GO:0050431	3	isogroup27786	12.7581807004199
"chitin binding"	GO:0008061	2	isogroup438	-1.62495609723543
"chitin binding"	GO:0008061	2	isogroup1885	0.697784593424383
"chitin binding"	GO:0008061	2	isogroup6805	14.2810871123282
"chitin binding"	GO:0008061	2	isogroup7133	-2.87253646075764
"chitin binding"	GO:0008061	2	isogroup7785	-16.0839820936542
"chitin binding"	GO:0008061	2	isogroup7791	0.899758318581842
"chitin binding"	GO:0008061	2	isogroup8050	-1.83712166952893
"chitin binding"	GO:0008061	2	isogroup8066	-1.92085140690844
"chitin binding"	GO:0008061	2	isogroup9771	2.20403167649202
"chitin binding"	GO:0008061	2	isogroup10354	-1.24766723083234
"chitin binding"	GO:0008061	2	isogroup10368	3.13840181211211
"chitin binding"	GO:0008061	2	isogroup10560	-81.2510602041703
"chitin binding"	GO:0008061	2	isogroup12019	1.84828560088515
"chitin binding"	GO:0008061	2	isogroup12840	6.37075970520995
"chitin binding"	GO:0008061	2	isogroup12854	0.862945737625059
