"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-51 0.578578873303146 1 229 "GO:0000003" "reproduction" 0.840134587270515
46 0.878800060655269 3 20 "GO:0000018" "regulation of DNA recombination" 0.962969099512399
-21 0.908416340359191 2 53 "GO:0000022;GO:0051231" "spindle elongation" 0.97268504841062
1116 0.01915884178715 3 8 "GO:0000027" "ribosomal large subunit assembly" 0.172815648462932
417 0.328578469480707 2 10 "GO:0000028" "ribosomal small subunit assembly" 0.672365428120235
-419 0.24518637320399 6 14 "GO:0000038" "very long-chain fatty acid metabolic process" 0.600966736785413
-811 0.0001233914389134 6 41 "GO:0000041" "transition metal ion transport" 0.00724368430735878
-520 0.101825960492213 6 18 "GO:0000045;GO:1905037" "autophagosome organization" 0.425979865096513
450 0.413591295843422 3 6 "GO:0000050" "urea cycle" 0.736484550181648
663 0.228466372546738 2 6 "GO:0000052" "citrulline metabolic process" 0.583278951085636
337 0.479960157339276 8 8 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.780828066807893
422 0.484231742110711 10 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.781726112373483
-363 0.394902760243297 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.7250054979297
173 0.716430847159805 2 8 "GO:0000070" "mitotic sister chromatid segregation" 0.900505041656463
376 0.00228036131811448 2 123 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.0507203346594283
1043 0.0579758045801367 4 6 "GO:0000076" "DNA replication checkpoint" 0.321878071630185
365 0.0243759897745637 7 70 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.1992931949377
460 0.0887032780552379 2 25 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.401068735752281
-161 0.644976790275634 2 15 "GO:0000080;GO:0051318" "mitotic G1 phase" 0.876301323781997
-18 0.909121022318311 2 71 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.97268504841062
531 0.212723173946103 3 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.564267915482218
55 0.754483451654804 3 60 "GO:0000084;GO:0051320" "S phase" 0.91716227289078
-138 0.307417564593449 5 102 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.652556193722075
98 0.453273302891831 2 109 "GO:0000087;GO:0000279;GO:0098763" "M phase" 0.766008351890348
-92 0.708155318913378 4 30 "GO:0000088;GO:0051324" "mitotic prophase" 0.899840258670804
-19 0.90671527524764 4 70 "GO:0000090;GO:0051322" "mitotic anaphase" 0.97268504841062
-371 0.0658005384954863 3 45 "GO:0000096" "sulfur amino acid metabolic process" 0.347027582256755
-424 0.109816609262992 3 26 "GO:0000097" "sulfur amino acid biosynthetic process" 0.435979243648309
-1334 0.00299251114434668 3 9 "GO:0000098" "sulfur amino acid catabolic process" 0.0573927564974151
359 4.8466112600065e-05 2 245 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.00340428228422252
-44 0.876110261965241 2 23 "GO:0000132;GO:0040001" "establishment of mitotic spindle localization" 0.961959239584442
-108 0.509047210004644 2 69 "GO:0000165" "MAPK cascade" 0.798476605114512
-43 0.885019300758012 8 21 "GO:0000186" "activation of MAPKK activity" 0.967120572479231
69 0.764553554013107 2 34 "GO:0000187" "activation of MAPK activity" 0.919594757759176
-698 0.204900814076939 8 6 "GO:0000188" "inactivation of MAPK activity" 0.554610593506817
-277 0.0458701609706914 2 96 "GO:0000209" "protein polyubiquitination" 0.279176698502149
7 0.986498717955156 2 11 "GO:0000212;GO:0090306" "meiotic spindle organization" 0.995844672567281
57 0.537233057983051 2 225 "GO:0000226" "microtubule cytoskeleton organization" 0.815027739760771
544 0.0228787654554276 4 32 "GO:0000236" "mitotic prometaphase" 0.193228441263883
495 0.169819749000859 3 14 "GO:0000245" "spliceosomal complex assembly" 0.513804467531064
-223 0.711922849444034 4 5 "GO:0000266" "mitochondrial fission" 0.899840258670804
264 0.0940036617502878 3 74 "GO:0000278" "mitotic cell cycle" 0.41576556047061
55 0.749511357093175 2 61 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.915487480603255
458 0.405324690626086 4 6 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.731217993517387
-90 0.809741441995756 6 13 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.939556768101463
-290 0.0505279361018075 2 84 "GO:0000302" "response to reactive oxygen species" 0.297599571020679
61 0.897666698119251 2 8 "GO:0000303;GO:0000305" "response to oxygen radical" 0.970729064729006
1011 0.0177824752975417 3 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.16583084385546
552 0.0074755312803561 2 43 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0996777294607543
560 0.120651466542756 3 14 "GO:0000387" "spliceosomal snRNP assembly" 0.451527161247205
820 0.107653312397394 2 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.433153383927043
113 0.772596846822014 2 12 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.923902702721114
669 1.9411365253999e-09 3 151 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 9.93029985351006e-07
-61 0.876266696320706 7 12 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.961959239584442
-689 0.0767559961432957 3 12 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.373963567604275
968 0.0313220880353987 5 9 "GO:0000447;GO:0000472;GO:0000967;GO:0034471;GO:0000966;GO:0000480" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.227513990374772
1038 0.0850477916736851 7 5 "GO:0000460" "maturation of 5.8S rRNA" 0.396041797117642
678 0.0330980980922151 2 18 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.232961180456859
