"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
344 0.55205187861236 4 35 "GO:0000002" "mitochondrial genome maintenance" 0.725639619946216
-796 0.419639632896216 1 12 "GO:0000003" "reproduction" 0.618320190159524
-116 0.9232959205392 2 8 "GO:0000012" "single strand break repair" 0.964631221291937
-1870 0.00379021309942979 6 28 "GO:0000018" "regulation of DNA recombination" 0.0265158296584076
1236 0.305983983831121 4 8 "GO:0000022;GO:0051231" "spindle elongation" 0.512400091501357
-415 0.661357644497028 3 13 "GO:0000038" "very long-chain fatty acid metabolic process" 0.808432124284093
-1538 0.00445172464881361 2 40 "GO:0000041" "transition metal ion transport" 0.0299413878739005
-1721 0.259792114388875 4 5 "GO:0000042;GO:0000301;GO:0072600" "protein targeting to Golgi" 0.466182871524888
-633 0.503892967542605 3 13 "GO:0000045" "autophagic vacuole assembly" 0.690761776558405
-2462 0.0226638415579291 3 10 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.0977576656243923
1264 0.219741150433422 2 11 "GO:0000060" "protein import into nucleus, translocation" 0.421290763812219
-2059 0.0367885893840132 3 12 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.135250992024179
-981 0.018100544551364 3 68 "GO:0000075" "cell cycle checkpoint" 0.0836131566861098
-3466 0.00233081701042765 2 9 "GO:0000076" "DNA replication checkpoint" 0.0180185990806119
-766 0.146906553356311 3 42 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.323835972273211
-292 0.645710037337165 2 29 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.798019063011527
-1320 0.000416491865240604 5 84 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.00449905671196543
-3782 0.003395101826044 6 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.0241766988383231
-538 0.261865838899952 2 51 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.466926348348607
-845 0.0721850978141353 2 53 "GO:0000096" "sulfur amino acid metabolic process" 0.208726508282376
-1485 0.00488387366808063 5 42 "GO:0000097;GO:0006555;GO:0009067;GO:0009086" "sulfur amino acid biosynthetic process" 0.0319860662284739
341 0.806733336866017 5 6 "GO:0000098" "sulfur amino acid catabolic process" 0.896697343597656
994 1.6704537333694e-05 6 223 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.00029926753127983
1837 0.0191102125324163 2 19 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.0868552746775323
-3006 0.00828703400310835 6 9 "GO:0000154;GO:0031167" "rRNA modification" 0.0473185449148817
3705 0.00410283707549741 2 7 "GO:0000160" "phosphorelay signal transduction system" 0.0280084805194238
825 0.0109313211299402 2 112 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.0573851989860117
-3518 0.0212369312339422 6 5 "GO:0000183" "chromatin silencing at rDNA" 0.0939977113178148
1379 0.0204925380065672 3 33 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0917711908124982
1077 0.480791331611956 8 5 "GO:0000185" "activation of MAPKKK activity" 0.672432651316845
1125 0.0626681934740361 2 32 "GO:0000186" "activation of MAPKK activity" 0.189011827335916
1029 0.0258217744168341 7 55 "GO:0000187" "activation of MAPK activity" 0.106331278654677
145 0.898542719375722 6 9 "GO:0000188" "inactivation of MAPK activity" 0.951365118138272
208 0.468559930698294 4 143 "GO:0000209" "protein polyubiquitination" 0.664660211706922
-130 0.625901458692348 2 167 "GO:0000226" "microtubule cytoskeleton organization" 0.785799903274857
-2078 0.107542328124565 2 7 "GO:0000245" "spliceosomal complex assembly" 0.266490377168069
-2916 0.0239034779874134 2 7 "GO:0000266" "mitochondrial fission" 0.101121668436126
-1019 0.108611106621584 4 29 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 0.268631999284648
-1360 0.0155769287728238 2 37 "GO:0000272" "polysaccharide catabolic process" 0.0740779225067154
-1812 3.99426545477588e-08 3 108 "GO:0000278" "mitotic cell cycle" 1.57430026137705e-06
-570 0.00143804312475853 2 377 "GO:0000280;GO:0048285;GO:0007067" "organelle fission" 0.0123721308729573
991 0.0864453205351116 4 35 "GO:0000281" "mitotic cytokinesis" 0.235482591154532
-938 0.287892247939825 2 15 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.493321432957615
-169 0.864355213543777 8 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.930753684554122
-1205 0.241978965702781 2 11 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.446202740509008
635 0.0739775256624648 4 93 "GO:0000302" "response to reactive oxygen species" 0.212457932055221
-3828 0.000772728139854319 2 9 "GO:0000303;GO:0019430;GO:0071451" "response to superoxide" 0.00745429481922144
-1710 9.15962051364474e-06 3 79 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.000179687628265461
-150 0.869878253384853 2 14 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.933864225098641
-2029 0.00247484362266242 2 26 "GO:0000387" "spliceosomal snRNP assembly" 0.0188310573176066
-3849 9.34864037858025e-09 2 26 "GO:0000413" "protein peptidyl-prolyl isomerization" 4.16506530550957e-07
-127 0.902086132167045 2 11 "GO:0000422" "mitochondrion degradation" 0.953687459582325
-2631 0.0148690449710367 2 10 "GO:0000460" "maturation of 5.8S rRNA" 0.0718210931125967
8 0.995753508555808 4 6 "GO:0000469;GO:0000479;GO:0000478" "cleavage involved in rRNA processing" 0.997816330266341
911 0.480408141517593 2 7 "GO:0000578" "embryonic axis specification" 0.672356621051137
-1188 0.325058731669299 2 8 "GO:0000712;GO:0051307" "meiotic chromosome separation" 0.531798152890952
-1261 0.328762261542675 2 7 "GO:0000718;GO:0044349" "nucleotide-excision repair, DNA damage removal" 0.536349433617934
-1701 0.0346920502824227 6 18 "GO:0000722;GO:0006312" "mitotic recombination" 0.130250317352856
-181 0.619334732125824 2 88 "GO:0000723;GO:0032200" "telomere organization" 0.78073991175653
