delta.rank	pval	level	nseqs	term	name	p.adj
344	0.551882959886196	2	35	GO:0000002	mitochondrial genome maintenance	0.724646270244597
-819	0.406173464688808	1	12	GO:0000003	reproduction	0.606345739137703
-115	0.924080223087096	2	8	GO:0000012	single strand break repair	0.965720875115095
-1873	0.0037194978424154	2	28	GO:0000018	regulation of DNA recombination	0.0260211150711127
1236	0.305885324953638	4	8	GO:0000022;GO:0051231	spindle elongation	0.511723177022242
-414	0.662257677408889	2	13	GO:0000038	very long-chain fatty acid metabolic process	0.810117231107839
-1536	0.0044972266288582	2	40	GO:0000041	transition metal ion transport	0.030107128073457
-1715	0.261160064456918	3	5	GO:0000042;GO:0000301;GO:0072600	protein targeting to Golgi	0.466396613001648
-632	0.504247263005026	2	13	GO:0000045	autophagic vacuole assembly	0.690665045087318
-2459	0.0227550115043367	2	10	GO:0000050;GO:0019627;GO:0071941	urea metabolic process	0.0979091121886439
1265	0.219308014557791	2	11	GO:0000060	protein import into nucleus, translocation	0.420088503958722
-2069	0.0357664276192829	2	12	GO:0000070;GO:0000819	mitotic sister chromatid segregation	0.132915288107596
-983	0.0178242772439698	2	68	GO:0000075	cell cycle checkpoint	0.0823369750997022
-3465	0.00232943964392065	2	9	GO:0000076	DNA replication checkpoint	0.018007951219898
-770	0.144544815408118	2	42	GO:0000077;GO:0031570	DNA integrity checkpoint	0.321358335503537
-290	0.64781217071881	2	29	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.799377554684362
-1321	0.00040902854169432	2	84	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	0.00444580673253518
-3779	0.00340064344230441	2	7	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.0241902913774007
-537	0.262392866866195	2	51	GO:0000086;GO:0044839	G2/M transition of mitotic cell cycle	0.46687453873302
-844	0.0722639568808227	6	53	GO:0000096	sulfur amino acid metabolic process	0.208776244025995
-1485	0.00488759603641495	2	42	GO:0000097;GO:0006555;GO:0009067;GO:0009086	sulfur amino acid biosynthetic process	0.0320104452210851
341	0.806822484403173	3	6	GO:0000098	sulfur amino acid catabolic process	0.896501023735894
994	1.65907743628129e-05	2	223	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.000298810436130237
1838	0.0189978267427541	2	19	GO:0000132;GO:0040001;GO:0051294	establishment of mitotic spindle localization	0.0861133083680929
-3002	0.00833082040243169	2	9	GO:0000154;GO:0031167	rRNA modification	0.0473291239641505
3702	0.00411701576367823	2	7	GO:0000160	phosphorelay signal transduction system	0.0281815532908403
823	0.0110673642366249	2	112	GO:0000165;GO:0023014	signal transduction by phosphorylation	0.0580094354569844
-3515	0.0212817174704137	2	5	GO:0000183	chromatin silencing at rDNA	0.0940729704371029
1379	0.0204784801313347	2	33	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0913572249337277
1076	0.480894884434875	3	5	GO:0000185	activation of MAPKKK activity	0.671305160076049
1123	0.0630405662508861	3	32	GO:0000186	activation of MAPKK activity	0.188731527255084
1029	0.0257253776656704	2	55	GO:0000187	activation of MAPK activity	0.106226986312146
147	0.89702231936596	3	9	GO:0000188	inactivation of MAPK activity	0.950216189724893
210	0.465208228282056	2	143	GO:0000209	protein polyubiquitination	0.660966183071396
-129	0.628818221290116	2	167	GO:0000226	microtubule cytoskeleton organization	0.787144971472558
-2077	0.107412252381226	2	7	GO:0000245	spliceosomal complex assembly	0.266640679298263
-2918	0.0237429084697001	2	7	GO:0000266	mitochondrial fission	0.100617632138178
-1018	0.10870755594564	2	29	GO:0000271;GO:0033692;GO:0034637	cellular carbohydrate biosynthetic process	0.268870551082496
-1359	0.0155573492523299	2	37	GO:0000272	polysaccharide catabolic process	0.0738810442754405
-1820	3.45074628169307e-08	2	108	GO:0000278	mitotic cell cycle	1.3746149305662e-06
-576	0.00129065787058975	4	376	GO:0000280;GO:0048285;GO:0007067	organelle fission	0.011292422609346
991	0.0861946572321948	2	35	GO:0000281	mitotic cytokinesis	0.235367023700171
-1182	0.195216041997021	2	14	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.389053277340738
-410	0.690568741859597	2	11	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.826826647785218
-1204	0.242202365820887	2	11	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	0.446432885503279
635	0.0739240459219291	4	93	GO:0000302	response to reactive oxygen species	0.212304342232105
-3824	0.000777535588791411	2	9	GO:0000303;GO:0019430;GO:0071451	response to superoxide	0.00745923089005603
-1707	9.35818695943152e-06	7	79	GO:0000375;GO:0000377;GO:0000398	RNA splicing, via transesterification reactions	0.000184225703747879
-147	0.872404456304925	4	14	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.934797939572303
-2026	0.00249482490074332	6	26	GO:0000387	spliceosomal snRNP assembly	0.0189405316455535
-3846	9.44213832003431e-09	6	26	GO:0000413	protein peptidyl-prolyl isomerization	4.2067210988995e-07
-125	0.903436737301583	2	11	GO:0000422	mitochondrion degradation	0.954457657567289
-2627	0.0149824328516406	2	10	GO:0000460	maturation of 5.8S rRNA	0.0720951211482307
10	0.994605665688952	6	6	GO:0000469;GO:0000479;GO:0000478	cleavage involved in rRNA processing	0.997288204461644
913	0.479221287499149	2	7	GO:0000578	embryonic axis specification	0.671061160792175
-1187	0.325424637856655	4	8	GO:0000712;GO:0051307	meiotic chromosome separation	0.530263630309256
-1259	0.329010584740488	3	7	GO:0000718;GO:0044349	DNA excision	0.534563262922885
-1708	0.0338731502905766	3	18	GO:0000722;GO:0006312	mitotic recombination	0.128293609489812
-186	0.610076294743001	2	88	GO:0000723;GO:0032200	telomere organization	0.77293599529701
-946	0.063488139254376	3	45	GO:0000724;GO:0000725	recombinational repair	0.189805415266823
