delta.rank	pval	level	nseqs	term	name	p.adj
0	0.989391475705672	3	73	GO:0000002	mitochondrial genome maintenance	1
0	0.395574877032839	1	17	GO:0000003	reproduction	0.866455652073036
0	1	3	11	GO:0000012	single strand break repair	1
0	0.692144810186674	2	42	GO:0000018	regulation of DNA recombination	1
0	0.80883625979777	5	8	GO:0000019;GO:0045950	regulation of mitotic recombination	1
0	0.013916911228411	4	12	GO:0000022;GO:0051231	spindle elongation	0.187357600823302
0	0.59753738543584	2	16	GO:0000038	very long-chain fatty acid metabolic process	1
0	0.0574471481896398	2	53	GO:0000041	transition metal ion transport	0.378959687557657
0	0.873613061645363	4	10	GO:0000042;GO:0000301;GO:0072600	protein targeting to Golgi	1
0	0.474133735745695	2	24	GO:0000045	autophagic vacuole assembly	0.958241217387962
0	0.098739276099535	3	10	GO:0000050;GO:0019627;GO:0071941	urea metabolic process	0.5036212046417
0	0.644434618921223	2	5	GO:0000059	protein import into nucleus, docking	1
0	0.103057647564155	3	14	GO:0000060	protein import into nucleus, translocation	0.508606195834072
0	0.163776022498123	3	16	GO:0000070;GO:0000819	mitotic sister chromatid segregation	0.646931633780011
0	0.0940035508226236	4	103	GO:0000075	cell cycle checkpoint	0.49476868903716
0	0.0146305875231427	2	9	GO:0000076	DNA replication checkpoint	0.188624968783709
0	0.124039237854659	2	59	GO:0000077;GO:0031570	DNA integrity checkpoint	0.567890537162209
0	0.352755889788742	7	46	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.833433684319005
0	1	2	5	GO:0000080;GO:0051318	mitotic G1 phase	1
0	0.340273511342777	5	117	GO:0000082;GO:0044843	cell cycle G1/S phase transition	0.820720632476972
0	0.0263030063566007	3	7	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.268317781338726
0	0.312237078881333	6	6	GO:0000084;GO:0051320	mitotic S phase	0.787069542097626
0	0.710874126929201	6	6	GO:0000085;GO:0051319	mitotic G2 phase	1
0	0.907124886223347	3	93	GO:0000086;GO:0044839	G2/M transition of mitotic cell cycle	1
0	0.710874126929201	3	6	GO:0000087;GO:0000279	mitotic M phase	1
0	0.00854498736091561	6	71	GO:0000096	sulfur amino acid metabolic process	0.136375241832677
0	0.00455629389437185	6	48	GO:0000097	sulfur amino acid biosynthetic process	0.0939261001766864
0	0.174742028372292	6	8	GO:0000098	sulfur amino acid catabolic process	0.652480139903332
0	0.644434618921223	5	5	GO:0000101	sulfur amino acid transport	1
0	1	2	6	GO:0000103	sulfate assimilation	1
0	0.0999161936711546	4	329	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.505592828509257
0	0.0146112326555087	4	26	GO:0000132;GO:0040001;GO:0051294	establishment of mitotic spindle localization	0.188624968783709
0	0.133097177756244	2	11	GO:0000154;GO:0031167	rRNA modification	0.569512031955907
0	0.680700224197328	2	18	GO:0000160	phosphorelay signal transduction system	1
0	0.832303597361878	5	162	GO:0000165;GO:0023014	signal transduction by phosphorylation	1
0	0.00517220481247773	2	5	GO:0000183	chromatin silencing at rDNA	0.10134448835538
0	0.00305552487805604	4	39	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0737424845569866
0	0.710874126929201	2	6	GO:0000185	activation of MAPKKK activity	1
0	0.50847507338102	4	41	GO:0000186	activation of MAPKK activity	0.991924867612828
0	0.481324284557137	2	72	GO:0000187	activation of MAPK activity	0.967537591811655
0	0.873613061645363	9	10	GO:0000188	inactivation of MAPK activity	1
0	0.00283431910065098	8	175	GO:0000209	protein polyubiquitination	0.0701139687523536
0	0.000239374490320385	3	230	GO:0000226	microtubule cytoskeleton organization	0.0123044705543907
0	0.386707015829594	2	7	GO:0000245	spliceosomal complex assembly	0.866455652073036
0	0.0482625430340435	2	5	GO:0000255	allantoin metabolic process	0.348582381986759
0	0.729017270468262	2	13	GO:0000266	mitochondrial fission	1
0	0.457362011648695	5	8	GO:0000270	peptidoglycan metabolic process	0.934557997989435
0	0.461754474882633	2	50	GO:0000271;GO:0033692;GO:0034637	cellular carbohydrate biosynthetic process	0.942074335868794
