"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 73 "GO:0000002" "mitochondrial genome maintenance" 1
0 0.101883898130835 1 17 "GO:0000003" "reproduction" 0.776987415803169
0 1 2 11 "GO:0000012" "single strand break repair" 1
0 0.783854250515907 2 42 "GO:0000018" "regulation of DNA recombination" 1
0 1 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 1
0 0.000724006216162557 2 12 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.0454859778344667
0 0.671800235899505 6 16 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.283430941778368 2 53 "GO:0000041" "transition metal ion transport" 1
0 1 3 10 "GO:0000042;GO:0000301;GO:0072600" "protein targeting to Golgi" 1
0 0.812049938165423 2 24 "GO:0000045" "autophagic vacuole assembly" 1
0 1 3 10 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 1 3 5 "GO:0000059" "protein import into nucleus, docking" 1
0 0.0632240774342046 2 14 "GO:0000060" "protein import into nucleus, translocation" 0.605910165822232
0 0.292943425831831 5 16 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.544355436143418 4 103 "GO:0000075" "cell cycle checkpoint" 1
0 0.0187418179053771 6 9 "GO:0000076" "DNA replication checkpoint" 0.334144663376048
0 0.364366719321138 3 59 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 0.605853139670521 2 46 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 1 5 5 "GO:0000080;GO:0051318" "G1 phase" 1
0 0.532948313002074 6 117 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.385722551672524 4 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 6 6 "GO:0000084;GO:0051320" "mitotic S phase" 1
0 1 6 6 "GO:0000085;GO:0051319" "mitotic G2 phase" 1
0 0.95415767074054 5 93 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.341427862609418 5 6 "GO:0000087;GO:0000279" "M phase" 1
0 0.103017441339204 6 71 "GO:0000096" "sulfur amino acid metabolic process" 0.781071799415111
0 0.0401575926371548 2 48 "GO:0000097" "sulfur amino acid biosynthetic process" 0.5029865558793
0 1 5 8 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 2 5 "GO:0000101" "sulfur amino acid transport" 1
0 1 4 6 "GO:0000103" "sulfate assimilation" 1
0 0.630306581304376 2 329 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 1
0 0.000213748429736359 5 26 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.0201432448784883
0 0.535064960777345 2 11 "GO:0000154;GO:0031167" "rRNA modification" 1
0 0.343666191908919 2 18 "GO:0000160" "phosphorelay signal transduction system" 1
0 0.768678523941593 4 162 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 1
0 0.0394075475928348 6 5 "GO:0000183" "chromatin silencing at rDNA" 0.49673590246
0 0.00386063650909967 2 39 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.129494909347597
0 1 3 6 "GO:0000185" "activation of MAPKKK activity" 1
0 0.77239671820763 2 41 "GO:0000186" "activation of MAPKK activity" 1
0 0.355029926440411 3 72 "GO:0000187" "activation of MAPK activity" 1
0 1 3 10 "GO:0000188" "inactivation of MAPK activity" 1
0 0.013998815321166 3 175 "GO:0000209" "protein polyubiquitination" 0.283371233572523
0 0.0120628490137049 2 230 "GO:0000226" "microtubule cytoskeleton organization" 0.264852563303718
0 0.385722551672524 3 7 "GO:0000245" "spliceosomal complex assembly" 1
0 0.293941936031394 4 5 "GO:0000255" "allantoin metabolic process" 1
0 1 2 13 "GO:0000266" "mitochondrial fission" 1
0 1 2 8 "GO:0000270" "peptidoglycan metabolic process" 1
0 0.436102631877547 3 50 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 1
0 2.6068533936942e-06 3 49 "GO:0000272" "polysaccharide catabolic process" 0.00060693680777892
0 0.0206612311641281 4 182 "GO:0000278" "mitotic cell cycle" 0.356198085031304
0 0.0393674826916119 4 538 "GO:0000280;GO:0048285;GO:0007067" "organelle fission" 0.49673590246
0 0.451328387902496 5 51 "GO:0000281" "mitotic cytokinesis" 1
0 0.368603239958705 6 19 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.292943425831831 3 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 2 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 1 2 12 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 0.696086730022278 2 119 "GO:0000302" "response to reactive oxygen species" 1
0 0.00194850393826441 3 9 "GO:0000303;GO:0019430;GO:0071451" "response to superoxide" 0.0866536919960734
0 0.258032665697003 2 90 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.341427862609418 2 6 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.131701283485743 6 19 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.865903122984337
0 0.115438828591872 6 28 "GO:0000387" "spliceosomal snRNP assembly" 0.814335680213827
0 0.293941936031394 2 5 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 1 2 8 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 0.000107283859823789 2 30 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.0117952643661821
0 0.595521141925318 2 13 "GO:0000422" "mitochondrion degradation" 1
0 1 2 12 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.341427862609418 3 6 "GO:0000469;GO:0000479;GO:0000478" "cleavage involved in rRNA processing" 1
0 1 2 5 "GO:0000470" "maturation of LSU-rRNA" 1
