delta.rank	pval	level	nseqs	term	name	p.adj
0	1	2	73	GO:0000002	mitochondrial genome maintenance	1
0	0.101122191269086	1	17	GO:0000003	reproduction	0.766746423454104
0	1	3	11	GO:0000012	single strand break repair	1
0	0.782281872141324	2	42	GO:0000018	regulation of DNA recombination	1
0	1	5	8	GO:0000019;GO:0045950	regulation of mitotic recombination	1
0	0.00071321749164375	2	12	GO:0000022;GO:0051231	mitotic spindle elongation	0.0441080442488432
0	0.670563534098641	3	16	GO:0000038	very long-chain fatty acid metabolic process	1
0	0.281154457586112	2	53	GO:0000041	transition metal ion transport	1
0	1	4	10	GO:0000042;GO:0000301;GO:0072600	protein targeting to Golgi	1
0	0.810986354741125	3	24	GO:0000045	autophagic vacuole assembly	1
0	1	3	10	GO:0000050;GO:0019627;GO:0071941	nitrogen cycle metabolic process	1
0	1	2	5	GO:0000059	protein import into nucleus, docking	1
0	0.0627219679197727	2	14	GO:0000060	protein import into nucleus, translocation	0.601098181662132
0	0.291607989759226	3	16	GO:0000070;GO:0000819	mitotic sister chromatid segregation	1
0	0.540821121395179	2	103	GO:0000075	cell cycle checkpoint	1
0	0.0185778952351062	2	9	GO:0000076	DNA replication checkpoint	0.334233224275229
0	0.36174848313992	2	59	GO:0000077;GO:0031570	DNA integrity checkpoint	1
0	0.603584765278893	7	46	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1
0	1	3	5	GO:0000080;GO:0051318	G1 phase	1
0	0.529165192267513	4	117	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	1
0	0.3847112172227	2	7	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	1
0	1	5	6	GO:0000084;GO:0051320	S phase	1
0	1	4	6	GO:0000085;GO:0051319	mitotic G2 phase	1
0	0.953421972152077	3	93	GO:0000086;GO:0044839	cell cycle G2/M phase transition	1
0	0.340498633125366	3	6	GO:0000087;GO:0000279	M phase	1
0	0.101579504755316	2	71	GO:0000096	sulfur amino acid metabolic process	0.768741261609065
0	0.0395604308586046	4	48	GO:0000097	sulfur amino acid biosynthetic process	0.495841304497703
0	1	4	8	GO:0000098	sulfur amino acid catabolic process	1
0	1	3	5	GO:0000101	sulfur amino acid transport	1
0	1	4	6	GO:0000103	sulfate assimilation	1
0	0.624293627872808	2	329	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1
0	0.000208987855852083	2	26	GO:0000132;GO:0040001;GO:0051294	establishment of mitotic spindle localization	0.0196946174633939
0	0.533861387728108	2	11	GO:0000154;GO:0031167	rRNA modification	1
0	0.342184361823511	3	18	GO:0000160	phosphorelay signal transduction system	1
0	0.76535857543443	5	162	GO:0000165;GO:0023014	signal transduction by phosphorylation	1
0	0.0391686777205998	2	5	GO:0000183	chromatin silencing at rDNA	0.4941828560854
0	0.00378435600335938	2	39	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.128021205652106
0	1	8	6	GO:0000185	activation of MAPKKK activity	1
0	0.770791340624843	7	41	GO:0000186	activation of MAPKK activity	1
0	0.352169905514742	4	72	GO:0000187	activation of MAPK activity	1
0	1	6	10	GO:0000188	inactivation of MAPK activity	1
0	0.0135503434775284	3	175	GO:0000209	protein polyubiquitination	0.275037228123371
0	0.0116150037947421	3	230	GO:0000226	microtubule cytoskeleton organization	0.256866143496785
0	0.3847112172227	2	7	GO:0000245	spliceosomal complex assembly	1
0	0.293111865503741	2	5	GO:0000255	allantoin metabolic process	1
0	1	4	13	GO:0000266	mitochondrial fission	1
0	1	4	8	GO:0000270	peptidoglycan metabolic process	1
0	0.433600731021047	4	50	GO:0000271;GO:0033692;GO:0034637	cellular carbohydrate biosynthetic process	1
0	2.50863510514947e-06	2	49	GO:0000272	polysaccharide catabolic process	0.00062057360913635
0	0.0200272226303155	2	182	GO:0000278	mitotic cell cycle	0.344642379003429
0	0.0375674055898033	3	538	GO:0000280;GO:0048285;GO:0007067	organelle fission	0.4941828560854
0	0.448795776043038	3	51	GO:0000281	mitotic cytokinesis	1
0	0.367058223607354	5	19	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1
0	0.291607989759226	2	16	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	1
0	1	2	6	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	1
0	1	5	12	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	1
0	0.692802362043841	2	119	GO:0000302	response to reactive oxygen species	1
0	0.00192495359496121	3	9	GO:0000303;GO:0019430;GO:0071451	response to superoxide	0.0856063632455783
0	0.255227964649275	2	90	GO:0000375;GO:0000377;GO:0000398	RNA splicing, via transesterification reactions	1
0	0.340498633125366	2	6	GO:0000380	alternative mRNA splicing, via spliceosome	1
0	0.130756536660845	6	19	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.855428714220867
0	0.114414145339843	2	28	GO:0000387	spliceosomal snRNP assembly	0.808466018168371
0	0.293111865503741	2	5	GO:0000389	mRNA 3'-splice site recognition	1
0	1	3	8	GO:0000394;GO:0006388	RNA splicing, via endonucleolytic cleavage and ligation	1
0	0.000104620479959282	2	30	GO:0000413	protein peptidyl-prolyl isomerization	0.0115024405466344
0	0.594283330876268	2	13	GO:0000422	mitochondrion degradation	1
0	1	3	12	GO:0000460	maturation of 5.8S rRNA	1
0	0.340498633125366	2	6	GO:0000469;GO:0000479;GO:0000478	cleavage involved in rRNA processing	1
0	1	2	5	GO:0000470	maturation of LSU-rRNA	1
