"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-3 0.996830203032668 6 16 "GO:0000002" "mitochondrial genome maintenance" 0.999326968561116
792 0.444296941475289 1 11 "GO:0000003" "reproduction" 0.909693384610792
184 0.895536754955359 2 6 "GO:0000012" "single strand break repair" 0.985900060592377
-320 0.432913345547979 3 71 "GO:0000018" "regulation of DNA recombination" 0.906068332033834
-894 0.313368660337934 2 15 "GO:0000019" "regulation of mitotic recombination" 0.848606976742995
-788 0.224784399850795 2 28 "GO:0000027" "ribosomal large subunit assembly" 0.798453767930021
-767 0.527535617394649 2 8 "GO:0000028" "ribosomal small subunit assembly" 0.925403125562146
-1445 0.0598900862906923 5 20 "GO:0000038" "very long-chain fatty acid metabolic process" 0.609719418574801
208 0.575600426422126 2 86 "GO:0000041" "transition metal ion transport" 0.931192209279199
-139 0.776972093614388 2 49 "GO:0000045;GO:1905037" "autophagosome organization" 0.970022551190074
2058 0.0379061440694329 5 12 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.55415731360948
2574 0.0662842465335568 2 6 "GO:0000052" "citrulline metabolic process" 0.615700277331941
1345 0.12932096382472 4 15 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.715287950505738
323 0.833179392933365 3 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.975784668454144
-401 0.757563833844534 -1 7 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.968446386893517
743 0.321303257788579 4 21 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.8527491938388
-294 0.382906161494103 2 105 "GO:0000075" "cell cycle checkpoint" 0.879968549830437
1519 0.0979231760472372 2 14 "GO:0000076" "DNA replication checkpoint" 0.670968111393032
139 0.734160995935226 4 71 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.962723210943695
-75 0.867903179240544 2 58 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.982260397404854
23 0.982900789044791 3 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.999043771733747
-162 0.715617019885873 2 60 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.958498780027359
-293 0.508824935643616 4 60 "GO:0000096" "sulfur amino acid metabolic process" 0.92202766254376
142 0.78470989747269 3 44 "GO:0000097;GO:0009086;GO:0006555" "sulfur amino acid biosynthetic process" 0.973085450236117
-292 0.834912914567418 2 6 "GO:0000098" "sulfur amino acid catabolic process" 0.975784668454144
604 0.559588740982589 2 11 "GO:0000105" "histidine biosynthetic process" 0.92602448404297
113 0.563832260076691 2 314 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.926635836029945
-776 0.312242991115953 2 20 "GO:0000154;GO:0031167" "rRNA modification" 0.848606976742995
712 0.0388782578585845 5 100 "GO:0000165" "MAPK cascade" 0.559704675634866
565 0.292272269041434 3 41 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.844057910506496
-1754 0.210730556056596 3 6 "GO:0000185" "activation of MAPKKK activity" 0.781276044780521
-107 0.88909331347059 2 20 "GO:0000186" "activation of MAPKK activity" 0.983899373378984
869 0.0288882395476151 4 75 "GO:0000187" "activation of MAPK activity" 0.507039266315311
-940 0.540408105190543 4 5 "GO:0000188" "inactivation of MAPK activity" 0.92602448404297
491 0.0189615533161464 8 275 "GO:0000209" "protein polyubiquitination" 0.442858047783673
-112 0.90247847515131 3 14 "GO:0000212" "meiotic spindle organization" 0.986459111033446
176 0.381806180346115 3 297 "GO:0000226" "microtubule cytoskeleton organization" 0.879968549830437
-16 0.986323211618605 3 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.999043771733747
-1584 0.0650797313156826 2 16 "GO:0000245" "spliceosomal complex assembly" 0.615700277331941
-469 0.622470732536354 2 13 "GO:0000266" "mitochondrial fission" 0.946457966924513
-1553 0.0188737274178124 3 27 "GO:0000272" "polysaccharide catabolic process" 0.442858047783673
-405 0.2542635489583 2 94 "GO:0000278" "mitotic cell cycle" 0.828518135798656
-275 0.478569813367642 3 79 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.919159998282449
649 0.643082848646766 2 6 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.951642073993286
1982 0.0455047755116216 3 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.582313143538963
1744 0.0920126835734284 6 11 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.657761660694448
507 0.519667891954279 3 19 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.92202766254376
-269 0.432225455179012 2 101 "GO:0000302" "response to reactive oxygen species" 0.906068332033834
511 0.693618726726132 6 7 "GO:0000338" "protein deneddylation" 0.95693382716736
560 0.60586212685982 4 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.941316779308324
-157 0.795591957119992 2 32 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.975784668454144
-653 0.241508332540719 2 38 "GO:0000387" "spliceosomal snRNP assembly" 0.816907124826128
380 0.769829875818882 3 7 "GO:0000389" "mRNA 3'-splice site recognition" 0.970022551190074
3458 0.0242827579400428 3 5 "GO:0000395" "mRNA 5'-splice site recognition" 0.475003259905515
167 0.564023405023738 3 143 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.926635836029945
224 0.759398911439092 2 22 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.969109267500585
-217 0.692838055742359 5 39 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.95693382716736
-1382 0.286793374544997 2 7 "GO:0000423" "mitophagy" 0.842719144938605
895 0.3293340852838 4 14 "GO:0000447;GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.854984737642967
275 0.781260089073263 2 12 "GO:0000460" "maturation of 5.8S rRNA" 0.970727500314719
-369 0.525869758800515 3 35 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.924491915200459
-237 0.845047046892459 2 8 "GO:0000466;GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.978238106990523
-2097 0.106093031077457 2 7 "GO:0000467;GO:0000459;GO:0031125" "rRNA 3'-end processing" 0.681078908370063
186 0.799994218417379 3 22 "GO:0000469" "cleavage involved in rRNA processing" 0.975784668454144
-299 0.763037947727741 2 12 "GO:0000470" "maturation of LSU-rRNA" 0.970022551190074
2222 0.14771206311268 4 5 "GO:0000472;GO:0000967" "endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.724433201012784
