delta.rank	pval	level	nseqs	term	name	p.adj
0	1	2	73	GO:0000002	mitochondrial genome maintenance	1
0	0.0721212498976313	1	17	GO:0000003	reproduction	0.689936486667266
0	1	2	11	GO:0000012	single strand break repair	1
0	0.919037942227994	4	42	GO:0000018	regulation of DNA recombination	1
0	1	5	8	GO:0000019;GO:0045950	regulation of mitotic recombination	1
0	0.000366266416941087	4	12	GO:0000022;GO:0051231	spindle elongation	0.0276569555579894
0	0.615927818118694	2	16	GO:0000038	very long-chain fatty acid metabolic process	1
0	0.600900236257055	3	53	GO:0000041	transition metal ion transport	1
0	1	5	10	GO:0000042;GO:0000301;GO:0072600	protein targeting to Golgi	1
0	0.762054043842344	2	24	GO:0000045	autophagic vacuole assembly	1
0	1	3	10	GO:0000050;GO:0019627;GO:0071941	urea metabolic process	1
0	1	3	5	GO:0000059	protein import into nucleus, docking	1
0	0.0438774606304226	2	14	GO:0000060	protein import into nucleus, translocation	0.521522490015654
0	0.237021323225135	5	16	GO:0000070;GO:0000819	mitotic sister chromatid segregation	1
0	0.38982923035071	2	103	GO:0000075	cell cycle checkpoint	1
0	0.0125703417017396	6	9	GO:0000076	DNA replication checkpoint	0.256460888945801
0	0.256729533182786	4	59	GO:0000077;GO:0031570	DNA integrity checkpoint	1
0	0.503989311046419	2	46	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1
0	1	3	5	GO:0000080;GO:0051318	mitotic G1 phase	1
0	0.368839529961462	4	117	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	1
0	0.341998561930357	6	7	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	1
0	1	3	6	GO:0000084;GO:0051320	mitotic S phase	1
0	1	2	6	GO:0000085;GO:0051319	mitotic G2 phase	1
0	0.912143689631272	3	93	GO:0000086;GO:0044839	G2/M transition of mitotic cell cycle	1
0	0.301447844814682	2	6	GO:0000087;GO:0000279	mitotic M phase	1
0	0.0527068536614934	2	71	GO:0000096	sulfur amino acid metabolic process	0.581096732011674
0	0.0199387741408271	2	48	GO:0000097	sulfur amino acid biosynthetic process	0.351877481194212
0	1	5	8	GO:0000098	sulfur amino acid catabolic process	1
0	1	2	5	GO:0000101	sulfur amino acid transport	1
0	1	2	6	GO:0000103	sulfate assimilation	1
0	0.448035154863785	4	329	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1
0	0.00053905033051414	2	26	GO:0000132;GO:0040001;GO:0051294	establishment of mitotic spindle localization	0.0349764132487699
0	0.482006639834129	6	11	GO:0000154;GO:0031167	rRNA modification	1
0	0.281014498731713	2	18	GO:0000160	phosphorelay signal transduction system	1
0	0.729710574269232	2	162	GO:0000165;GO:0023014	signal transduction by phosphorylation	1
0	0.0299141225839067	5	5	GO:0000183	chromatin silencing at rDNA	0.424373108197501
0	0.001538636272486	6	39	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.0680804892267303
0	1	2	6	GO:0000185	activation of MAPKKK activity	1
0	0.69640734419852	2	41	GO:0000186	activation of MAPKK activity	1
0	0.796078299123455	4	72	GO:0000187	activation of MAPK activity	1
0	1	8	10	GO:0000188	inactivation of MAPK activity	1
0	0.025933219924791	4	175	GO:0000209	protein polyubiquitination	0.415561475555963
0	0.00779887991047999	3	230	GO:0000226	microtubule cytoskeleton organization	0.194138155255848
0	0.341998561930357	2	7	GO:0000245	spliceosomal complex assembly	1
0	0.258400609880656	4	5	GO:0000255	allantoin metabolic process	1
0	1	2	13	GO:0000266	mitochondrial fission	1
0	1	2	8	GO:0000270	peptidoglycan metabolic process	1
0	0.329931626041834	4	50	GO:0000271;GO:0033692;GO:0034637	cellular carbohydrate biosynthetic process	1
0	1.71163758382831e-05	2	49	GO:0000272	polysaccharide catabolic process	0.00260563906030479
0	0.00454960408864657	4	182	GO:0000278	mitotic cell cycle	0.136419189264115
0	0.00881855027361861	4	538	GO:0000280;GO:0048285;GO:0007067	organelle fission	0.202180442813405
0	0.34333411782513	2	51	GO:0000281	mitotic cytokinesis	1
0	0.30296454847993	3	19	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1
0	0.237021323225135	6	16	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	1
0	1	6	6	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	1
0	1	3	12	GO:0000291;GO:0043928	nuclear-transcribed mRNA catabolic process, exonucleolytic	1
0	0.540666435229048	4	119	GO:0000302	response to reactive oxygen species	1
