"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
227 0.62726518881232 3 27 "GO:0000002" "mitochondrial genome maintenance" 0.806861001910099
-915 0.257408604716803 1 9 "GO:0000003" "reproduction" 0.51147195396875
732 0.424413128424887 2 7 "GO:0000012" "single strand break repair" 0.657745986807728
-429 0.452681914437542 3 18 "GO:0000018" "regulation of DNA recombination" 0.681679274862659
1607 0.079410065740303 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.265767558727627
-896 0.242466051289768 2 10 "GO:0000038" "very long-chain fatty acid metabolic process" 0.497453384061575
-759 0.0540229020516875 5 38 "GO:0000041" "transition metal ion transport" 0.206767497312453
286 0.79217128271552 4 5 "GO:0000042;GO:0000301;GO:0072600" "protein targeting to Golgi" 0.905294089806682
352 0.600572882972278 2 13 "GO:0000045" "autophagic vacuole assembly" 0.788727045675618
56 0.945014949874042 3 9 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.979753186789469
510 0.505900782319785 3 10 "GO:0000060" "protein import into nucleus, translocation" 0.719969103163711
-893 0.244154321069647 2 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.498925021226299
-364 0.279502565204291 2 52 "GO:0000075" "cell cycle checkpoint" 0.532199978042576
-2381 0.00546583463149298 4 8 "GO:0000076" "DNA replication checkpoint" 0.0461577023386253
-249 0.555871302264186 4 33 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.761284782835973
292 0.547750762336163 5 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.754846283010699
-411 0.179479577837105 3 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.423415666010323
-1576 0.0853867932765685 2 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.275916167373116
-496 0.22060521118846 4 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.474215659728032
-171 0.629771726191737 4 47 "GO:0000096" "sulfur amino acid metabolic process" 0.808434319304903
-487 0.263499917355742 2 31 "GO:0000097" "sulfur amino acid biosynthetic process" 0.518193846619789
-734 0.458214571794105 3 6 "GO:0000098" "sulfur amino acid catabolic process" 0.685787393643418
599 0.00103865360919094 2 180 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.013470038994195
