"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
301 0.674980207577327 2 11 "GO:0000109" "nucleotide-excision repair complex" 0.823533543860371
-135 0.898806018405844 4 5 "GO:0000110" "nucleotide-excision repair factor 1 complex" 0.955713662029305
555 0.309206790934183 2 19 "GO:0000118" "histone deacetylase complex" 0.484638112962612
237 0.433800418786815 2 62 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.60715208970486
11 0.991513298884862 2 5 "GO:0000124" "SAGA complex" 0.999509510205075
-659 0.535482610094937 3 5 "GO:0000127;GO:0090576" "transcription factor TFIIIC complex" 0.698083493982212
-332 0.00729514720150542 3 388 "GO:0000139" "Golgi membrane" 0.0277990370478414
-32 0.975744833007566 3 5 "GO:0000145" "exocyst" 0.991370639941851
-208 0.307685086913512 2 138 "GO:0000151" "ubiquitin ligase complex" 0.484638112962612
-1443 0.0044499856164921 2 22 "GO:0000152" "nuclear ubiquitin ligase complex" 0.0195457060539768
-1583 0.078131893533123 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.171775006539786
-432 0.68475495305152 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.830138170259911
-1222 0.0186235595973585 2 21 "GO:0000178" "exosome (RNase complex)" 0.0571723254306006
-538 0.147806980401613 3 41 "GO:0000228" "nuclear chromosome" 0.281325952697737
926 0.131446516496521 4 15 "GO:0000242" "pericentriolar material" 0.256163689145097
1438 0.138542068996653 2 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.266355290899289
-1833 0.0413558042101366 2 7 "GO:0000313;GO:0005761" "organellar ribosome" 0.107765095457454
-968 0.197793876074854 5 10 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.349660381544092
-2017 0.0109149974922467 4 9 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.0380028266345906
-322 0.0178282945329842 5 317 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.0559338251556812
-1131 0.178377291777373 4 8 "GO:0000346" "transcription export complex" 0.328559463241548
-108 0.91939973467954 4 5 "GO:0000347;GO:0000445" "THO complex" 0.96516188999866
1366 0.12845266933344 2 7 "GO:0000407" "pre-autophagosomal structure" 0.25287303633626
782 0.298625827342656 4 10 "GO:0000421" "autophagic vacuole membrane" 0.474973112570074
-1011 0.0147609527646945 4 33 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.0476186668284777
-2720 5.09080850598589e-17 2 54 "GO:0000502" "proteasome complex" 2.23603973609073e-15
-1707 7.47971328878921e-11 2 83 "GO:0000775" "chromosome, centromeric region" 1.52532724567809e-09
-1313 5.66667017920588e-06 2 68 "GO:0000776" "kinetochore" 5.77797977201171e-05
-1813 7.54015585256685e-08 2 50 "GO:0000777" "condensed chromosome kinetochore" 1.13300762942518e-06
-321 0.340395103052355 2 50 "GO:0000781" "chromosome, telomeric region" 0.524369739201461
-504 0.603432859954292 2 6 "GO:0000782;GO:0000783" "telomere cap complex" 0.755614392618203
493 0.379478411684605 2 18 "GO:0000784" "nuclear chromosome, telomeric region" 0.562382285753307
-447 0.0499076812739971 2 110 "GO:0000785" "chromatin" 0.124983298615968
-1074 0.00484883201869819 2 39 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.0205771308184619
-115 0.738521407740489 2 48 "GO:0000790" "nuclear chromatin" 0.858850761343827
91 0.898711852378088 3 11 "GO:0000791" "euchromatin" 0.955713662029305
-157 0.696770413000553 3 35 "GO:0000792" "heterochromatin" 0.833735456649011
-945 0.0324782363376363 2 29 "GO:0000793" "condensed chromosome" 0.0909072203372075
-59 0.92043357481234 2 16 "GO:0000794" "condensed nuclear chromosome" 0.96516188999866
-906 0.350296038150675 3 6 "GO:0000795" "synaptonemal complex" 0.53223919447456
-1769 0.068394379726845 2 6 "GO:0000796" "condensin complex" 0.154360438039638
410 0.699755095241955 2 5 "GO:0000803" "sex chromosome" 0.834154821259199
-1259 0.19439478774673 2 6 "GO:0000808;GO:0005664" "origin recognition complex" 0.347960576186153
806 0.309180879341532 2 9 "GO:0000812" "Swr1 complex" 0.484638112962612
-79 0.930320988496833 4 7 "GO:0000813;GO:0036452" "ESCRT complex" 0.968219297061322
1188 2.88853016086982e-11 4 181 "GO:0000922" "spindle pole" 6.10870637724691e-10
143 0.842439826763081 4 11 "GO:0000930" "gamma-tubulin complex" 0.925514035697262
-532 0.616597698324953 6 5 "GO:0000931;GO:0008274" "gamma-tubulin ring complex" 0.768727698130018
-2863 0.00318103141335158 2 6 "GO:0000940" "condensed chromosome outer kinetochore" 0.01453095149619
997 0.0937433697451513 3 16 "GO:0000943" "retrotransposon nucleocapsid" 0.196792147516476
2024 0.0370524797892412 2 6 "GO:0001518" "voltage-gated sodium channel complex" 0.100747456950746
-786 0.252143420343729 5 12 "GO:0001669" "acrosomal vesicle" 0.418528758768225
-951 0.230152838339308 2 9 "GO:0001673;GO:0043073" "germ cell nucleus" 0.391294050341135
-76 0.904529214064405 4 14 "GO:0001725;GO:0032432" "actin filament bundle" 0.960011489276534
14 0.971697657428892 2 38 "GO:0001726" "ruffle" 0.989018471286805
1457 0.0050228509944177 2 21 "GO:0001750" "photoreceptor outer segment" 0.0206722946891218
-827 0.357406389580878 2 7 "GO:0001772" "immunological synapse" 0.53989166256794
523 0.622972734305492 2 5 "GO:0001891" "phagocytic cup" 0.774983510432322
1895 0.00576911735189795 3 12 "GO:0001917" "photoreceptor inner segment" 0.0233628794888917
1858 0.0804809785103541 2 5 "GO:0001931" "uropod" 0.174732466651757
-1187 0.26405683222291 5 5 "GO:0002080" "acrosomal membrane" 0.433265664365752
-881 0.241352385598244 3 10 "GO:0002102" "podosome" 0.407273922549113
1250 0.239833622752227 2 5 "GO:0002116" "semaphorin receptor complex" 0.406364980983744
1483 0.0485896899151328 2 10 "GO:0002142;GO:0060171" "stereocilia ankle link complex" 0.12276421655549
-3228 0.000327245718316838 2 7 "GO:0002199;GO:0005832" "zona pellucida receptor complex" 0.00196691900167278
432 0.000349268181193764 2 406 "GO:0005578;GO:0031012" "extracellular matrix" 0.00207741803605874
-56 0.782466540810109 3 142 "GO:0005581" "collagen trimer" 0.890016722714287
248 0.798218587707554 2 6 "GO:0005583" "fibrillar collagen trimer" 0.900906322816835
-933 0.380174364799959 2 5 "GO:0005593;GO:0005595" "FACIT collagen trimer" 0.562382285753307
896 7.27149625362808e-06 2 144 "GO:0005604" "basement membrane" 7.28425326459936e-05
859 0.0833638515117456 2 23 "GO:0005605" "basal lamina" 0.178279997053209
853 0.342397439453474 3 7 "GO:0005606;GO:0043256" "laminin complex" 0.525561661096596
288 0.732346614908425 2 8 "GO:0005614" "interstitial matrix" 0.858850761343827
-94 0.424420533619473 2 432 "GO:0005615" "extracellular space" 0.599861694793859
-539 0.22280829699622 2 29 "GO:0005618;GO:0030312" "external encapsulating structure" 0.382052665419945
399 3.66960517790566e-05 2 657 "GO:0005622" "intracellular" 0.000313071782749866
-194 0.841908787611332 1 6 "GO:0005623" "cell" 0.925514035697262
-152 0.49821539782434 2 114 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.66623183175105
-500 0.35962818620337 2 19 "GO:0005637" "nuclear inner membrane" 0.541814496892148
-1619 0.127823045769697 5 5 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 0.252550031607256
519 0.563348952135623 2 7 "GO:0005640" "nuclear outer membrane" 0.729415536665398
130 0.837450025555237 3 14 "GO:0005641" "nuclear envelope lumen" 0.924920627837602
-865 0.00463934764375257 4 61 "GO:0005643;GO:0046930" "pore complex" 0.0201101357989787
-494 9.20954422786691e-05 3 370 "GO:0005654" "nucleoplasm" 0.00066539198483658
-973 0.0826659865703856 2 18 "GO:0005657" "replication fork" 0.177452174179286
-632 0.482087419966049 3 7 "GO:0005662" "DNA replication factor A complex" 0.650761032625565
-2170 0.0412111027818835 2 5 "GO:0005663" "DNA replication factor C complex" 0.107765095457454
-1805 0.0163882408781669 2 10 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.0522775728571693
-1444 0.0440675236436452 2 11 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.113857719459373
118 0.61286564364153 2 105 "GO:0005667" "transcription factor complex" 0.765746788882524
-530 0.388169296984378 5 15 "GO:0005669" "transcription factor TFIID complex" 0.5697806390182
