"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
255 0.728296396589503 4 6 "GO:0000109" "nucleotide-excision repair complex" 0.84934369367024
331 0.477128922298876 3 15 "GO:0000118" "histone deacetylase complex" 0.661238452098986
554 0.025558709335882 4 53 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0897307651496788
-298 0.00515650970431581 4 300 "GO:0000139" "Golgi membrane" 0.0279768079702241
-985 0.220988001889719 2 5 "GO:0000145" "exocyst" 0.414866201241208
218 0.225126322345018 3 102 "GO:0000151" "ubiquitin ligase complex" 0.414866201241208
-338 0.466592507427363 4 15 "GO:0000152" "nuclear ubiquitin ligase complex" 0.650169887398785
-551 0.417843478146713 2 7 "GO:0000159" "protein phosphatase type 2A complex" 0.619477249577976
-866 0.0625893132318947 2 15 "GO:0000178" "exosome (RNase complex)" 0.173481248631882
-104 0.768985313680552 2 26 "GO:0000228" "nuclear chromosome" 0.87345770596232
525 0.356203169907116 2 10 "GO:0000242" "pericentriolar material" 0.558964974315782
1532 0.0370144390988533 2 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.115812048714204
-1140 0.0938284445209885 4 7 "GO:0000313;GO:0005761" "organellar ribosome" 0.239262533528521
-268 0.637741118177808 2 10 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.787525351744993
-1020 0.133684012721589 5 7 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.305734737614396
-83 0.473133195709512 4 250 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.657487547171257
-873 0.234567394829291 2 6 "GO:0000346" "transcription export complex" 0.421230180855417
935 0.203200571860792 2 6 "GO:0000407" "pre-autophagosomal structure" 0.395901949910323
892 0.137256332518358 2 9 "GO:0000421" "autophagic vacuole membrane" 0.312503257073047
-431 0.213954896959992 4 27 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.408677893069648
-1829 1.31849696976778e-12 2 49 "GO:0000502" "proteasome complex" 1.12072242430261e-10
-1113 3.18141341038454e-07 2 69 "GO:0000775" "chromosome, centromeric region" 6.24046476652352e-06
-987 4.30224486527327e-05 4 56 "GO:0000776;GO:0000777" "kinetochore" 0.000457113516935285
54 0.854013204610564 4 38 "GO:0000781" "chromosome, telomeric region" 0.918277511905326
-333 0.650052976789314 5 6 "GO:0000782;GO:0000783" "nuclear telomere cap complex" 0.798860284729036
730 0.178591999148103 2 11 "GO:0000784" "nuclear chromosome, telomeric region" 0.368985107136039
-305 0.112366822450205 2 89 "GO:0000785" "chromatin" 0.269047321359646
-854 0.0156493079717543 4 26 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.0651374982697521
42 0.883342404655249 5 40 "GO:0000790" "nuclear chromatin" 0.934656901191239
12 0.984238716736032 5 9 "GO:0000791" "euchromatin" 0.993983654525498
-239 0.452449356365614 5 32 "GO:0000792" "heterochromatin" 0.637428651233324
-830 0.0444456559652909 2 19 "GO:0000793" "condensed chromosome" 0.134924312751776
-56 0.918532955069538 4 11 "GO:0000794" "condensed nuclear chromosome" 0.962819905360124
-824 0.305656579101799 4 5 "GO:0000808" "origin recognition complex" 0.502854372070702
454 0.504128709351815 2 7 "GO:0000812" "Swr1 complex" 0.678853665563676
323 0.688296271896332 4 5 "GO:0000813;GO:0036452" "ESCRT complex" 0.821257620885276
729 8.51695321394716e-06 4 123 "GO:0000922" "spindle pole" 0.000105942588758855
453 0.50560646286947 4 7 "GO:0000930" "gamma-tubulin complex" 0.678853665563676
558 0.011599996569913 4 67 "GO:0000932" "cytoplasmic mRNA processing body" 0.0519232383810263
-2089 0.00445530259200575 4 6 "GO:0000940" "condensed chromosome outer kinetochore" 0.0255303856395835
1944 0.0157096319356461 2 5 "GO:0001518" "voltage-gated sodium channel complex" 0.0651374982697521
