"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
414 0.759796329668573 3 5 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.855799476016588
-1793 0.0498078465259818 2 11 "GO:0000030" "mannosyltransferase activity" 0.146604227510437
-1031 0.0774278202722682 2 27 "GO:0000049" "tRNA binding" 0.207064113642409
-1561 0.0875877830179166 2 11 "GO:0000062" "fatty-acyl-CoA binding" 0.228362576336407
-1694 0.211158729252816 2 5 "GO:0000104" "succinate dehydrogenase activity" 0.405009365943926
2717 0.00190412866147712 5 12 "GO:0000146" "microfilament motor activity" 0.0137097263626353
-1142 0.039274458402162 3 30 "GO:0000149;GO:0019905" "SNARE binding" 0.12132307942054
3059 0.00246183736254392 2 9 "GO:0000155;GO:0004673" "protein histidine kinase activity" 0.0165775523118065
-346 0.637721488384471 6 17 "GO:0000175" "3'-5'-exoribonuclease activity" 0.775204302763461
-1942 0.116371465361474 2 6 "GO:0000182" "rDNA binding" 0.281456567385891
-1268 0.105322009014191 2 15 "GO:0000217" "DNA secondary structure binding" 0.263586632185248
428 0.752274205979188 2 5 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 0.849371117969264
-940 0.000726304404172244 5 120 "GO:0000287" "magnesium ion binding" 0.00673090022084376
-1500 0.137685404784433 3 9 "GO:0000339" "RNA cap binding" 0.310870787704021
-1888 0.126983692822021 5 6 "GO:0000400" "four-way junction DNA binding" 0.294929867199533
-1858 0.0658099556692029 4 9 "GO:0000403" "Y-form DNA binding" 0.183874980616042
-679 0.583183913888538 3 6 "GO:0000404;GO:0032135;GO:0032138;GO:0032142" "DNA insertion or deletion binding" 0.730736470414554
-2181 0.107535802272559 4 5 "GO:0000405" "bubble DNA binding" 0.268186362923927
834 0.000293131997224135 2 176 "GO:0000975;GO:0001067;GO:0044212" "regulatory region DNA binding" 0.00308282639777293
938 0.00294839361004421 2 93 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.0189973888966306
911 0.0192294934840236 2 61 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0743752309960582
608 0.242638854685916 6 34 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.442709489251496
332 0.703998446883378 2 12 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.818767557381981
896 0.0092806864393536 3 78 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.0431896999119743
1144 0.0114595861329533 2 45 "GO:0000982;GO:0001077;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.0498891749788107
653 0.00456003150916738 1 176 "GO:0000988;GO:0000989;GO:0003712" "protein binding transcription factor activity" 0.0255580209136567
-757 0.576262333735964 2 5 "GO:0001016" "RNA polymerase III regulatory region DNA binding" 0.727259837397858
481 0.501015672598769 2 18 "GO:0001046" "core promoter sequence-specific DNA binding" 0.67281301227037
235 0.64234563834179 2 36 "GO:0001047" "core promoter binding" 0.778745021259247
-1587 0.165897529398869 2 7 "GO:0001054" "RNA polymerase I activity" 0.350604933676343
-2395 0.052876959968024 2 6 "GO:0001055" "RNA polymerase II activity" 0.154183285140406
-2357 0.0196242612702727 2 9 "GO:0001056" "RNA polymerase III activity" 0.0754122731600172
544 0.201120100050829 3 51 "GO:0001076;GO:0001104" "RNA polymerase II transcription factor binding transcription factor activity" 0.394802618485535
212 0.678851018020296 2 35 "GO:0001085" "RNA polymerase II transcription factor binding" 0.802278475842168
635 0.43322880206656 3 14 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.61645604365075
1392 0.0977421012940622 5 13 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.246594627523564
-247 0.744960596885578 2 16 "GO:0001103;GO:0070491" "repressing transcription factor binding" 0.847559150196592
1593 0.0356017284239405 2 16 "GO:0001105;GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.113344278247647
-453 0.653598356002935 2 9 "GO:0001106;GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.787671511132491
