"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1245 0.0700688022313797 2 10 "GO:0000030" "mannosyltransferase activity" 0.234801986252909
-160 0.742325886311955 3 20 "GO:0000049" "tRNA binding" 0.865695387304141
-498 0.447433791897106 2 11 "GO:0000062" "fatty-acyl-CoA binding" 0.67526313078589
826 0.351661641009491 2 6 "GO:0000104;GO:0016635" "succinate dehydrogenase activity" 0.592842314720312
1785 0.00445530194326826 2 12 "GO:0000146" "microfilament motor activity" 0.0335578247286536
-562 0.215636401298887 3 23 "GO:0000149" "SNARE binding" 0.451606728215944
103 0.881126637827528 3 10 "GO:0000175" "3'-5'-exoribonuclease activity" 0.939486973579741
-956 0.325393345089994 4 5 "GO:0000182" "rDNA binding" 0.569611804517879
-1137 0.200160808452782 2 6 "GO:0000217" "DNA secondary structure binding" 0.435893962174361
-313 0.181352386434427 2 87 "GO:0000287" "magnesium ion binding" 0.417059689811385
44 0.957516313149065 2 7 "GO:0000339" "RNA cap binding" 0.979901752238822
483 0.0132880786224848 4 126 "GO:0000975;GO:0001067;GO:0044212" "regulatory region DNA binding" 0.0708409905783118
694 0.0122282158848737 3 62 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.0670006281653403
1042 0.0021904413616038 7 41 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0206707167572037
575 0.186566057211775 2 25 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.419913661698677
1466 0.0564860099440791 2 8 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.202510978882484
-384 0.665071025522814 2 6 "GO:0000980;GO:0001158" "enhancer sequence-specific DNA binding" 0.820465832230624
720 0.0194996162164077 3 50 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.0952466160821837
873 0.0408750944588722 2 26 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.162905109469583
485 0.00885990427240129 1 140 "GO:0000988;GO:0000989;GO:0003712" "protein binding transcription factor activity" 0.0523308014938235
405 0.647813752428416 4 6 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase II core binding" 0.809831179542753
931 0.155342029579326 2 11 "GO:0001046" "core promoter sequence-specific DNA binding" 0.374005297022366
439 0.303214229571797 3 26 "GO:0001047" "core promoter binding" 0.543388217474898
-1787 0.0658587187746107 2 5 "GO:0001054" "RNA polymerase I activity" 0.226234343573035
-1482 0.0948598630349785 2 6 "GO:0001055" "RNA polymerase II activity" 0.27085623848933
-1169 0.154841094885499 6 7 "GO:0001056" "RNA polymerase III activity" 0.373895702649984
745 0.028474168353591 2 41 "GO:0001076;GO:0001104" "RNA polymerase II transcription factor binding transcription factor activity" 0.123689376816393
1060 0.0194179708612845 2 23 "GO:0001077;GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0952466160821837
456 0.639098570567487 2 5 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.807433443930633
312 0.464275618437301 3 26 "GO:0001085" "RNA polymerase II transcription factor binding" 0.689217891461788
1254 0.0680869055473896 2 10 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.231947508109572
-247 0.706584749298158 2 11 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.840733448077953
1646 0.00633636203346482 2 13 "GO:0001105;GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.0416172258357969
-47 0.958238373218384 3 6 "GO:0001106;GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.979901752238822
-91 0.905303084112992 2 8 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.952654103354844
-277 0.735698945262998 2 7 "GO:0001530" "lipopolysaccharide binding" 0.86377513944159
1910 0.000194517323954614 4 18 "GO:0001540" "beta-amyloid binding" 0.00266164538277897
322 0.694897314445379 5 7 "GO:0001614;GO:0016502;GO:0035586" "purinergic receptor activity" 0.837754324757204
-1815 0.0270907854568142 2 7 "GO:0001618" "virus receptor activity" 0.118306036489598
