	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
Slin_CCMP2456.gene1.mRNA1	1	0	0	0	0	1	1	2	1	1	
Slin_CCMP2456.gene100.mRNA1	11	18	11	5	10	10	4	9	8	10	
Slin_CCMP2456.gene1000.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10000.mRNA1	3	1	4	1	0	1	2	3	0	2	
Slin_CCMP2456.gene10001.mRNA1	0	2	1	1	1	1	1	4	0	0	
Slin_CCMP2456.gene10002.mRNA1	5	3	5	1	3	0	6	6	4	8	
Slin_CCMP2456.gene10006.mRNA1	14	15	9	7	6	13	6	11	7	7	
Slin_CCMP2456.gene10007.mRNA1	9	10	11	3	7	8	9	20	12	12	
Slin_CCMP2456.gene10009.mRNA1	0	0	1	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10013.mRNA1	6	5	2	5	2	2	1	2	2	4	
Slin_CCMP2456.gene10016.mRNA1	0	0	0	1	0	0	0	0	0	0	
Slin_CCMP2456.gene10017.mRNA1	3	7	6	3	2	5	2	2	2	6	
Slin_CCMP2456.gene10019.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene1002.mRNA1	3	7	6	2	4	6	1	6	4	6	
Slin_CCMP2456.gene10020.mRNA1	1	0	0	0	0	0	0	0	0	0	
Slin_CCMP2456.gene10023.mRNA1	5	11	4	0	6	8	4	9	4	6	
Slin_CCMP2456.gene10024.mRNA1	0	0	0	0	0	0	0	1	0	0	
Slin_CCMP2456.gene10026.mRNA1	0	1	0	0	0	2	0	1	1	0	
Slin_CCMP2456.gene10027.mRNA1	0	0	1	0	0	0	0	2	0	0	
Slin_CCMP2456.gene10028.mRNA1	738	899	757	616	563	612	586	844	760	924	
Slin_CCMP2456.gene1003.mRNA1	0	0	1	0	0	0	0	0	0	0	
