	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.000015	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000022	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.000038	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.000042	0	0	0	1	0	0	0	0	0	0	
symbB.v1.2.000068	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000085	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000087	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000101	2	2	0	0	1	0	4	2	1	1	
symbB.v1.2.000104	0	0	0	0	1	0	0	0	0	0	
symbB.v1.2.000115	0	0	0	0	0	0	2	0	0	0	
symbB.v1.2.000116	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000126	3	2	5	2	2	5	3	3	6	2	
symbB.v1.2.000129	0	0	1	0	0	0	0	0	0	0	
symbB.v1.2.000142	0	1	0	0	1	0	0	1	0	1	
symbB.v1.2.000146	0	1	0	0	0	0	0	0	0	0	
symbB.v1.2.000147	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000156	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000180	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000190	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000200	1	0	1	0	0	1	1	1	1	2	
symbB.v1.2.000207	0	0	0	0	0	1	0	0	0	0	
symbB.v1.2.000209	4	10	6	2	7	4	3	4	5	4	
symbB.v1.2.000217	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000234	4	2	6	1	4	2	5	6	4	4	
symbB.v1.2.000238	4	3	2	4	5	5	5	2	0	3	
symbB.v1.2.000244	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.000251	2	12	8	3	8	3	5	14	3	7	
symbB.v1.2.000253	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000259	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000266	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.000271	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000281	0	0	0	0	1	0	0	0	0	0	
symbB.v1.2.000307	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000323	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000349	0	1	0	0	0	0	0	0	1	0	
symbB.v1.2.000358	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000362	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.000379	1	0	0	0	0	0	1	0	0	0	
symbB.v1.2.000385	0	0	0	0	0	0	0	1	0	0	
