,delta.rank,pval,level,nseqs,term,name,p.adj
4,-1870,0.00379021309942979,4,28,GO:0000018,regulation of DNA recombination,0.0265158296584076
7,-1538,0.00445172464881361,2,40,GO:0000041,transition metal ion transport,0.0299413878739005
10,-2462,0.0226638415579291,2,10,GO:0000050;GO:0019627;GO:0071941,urea metabolic process,0.0977576656243923
13,-981,0.018100544551364,4,68,GO:0000075,cell cycle checkpoint,0.0836131566861098
14,-3466,0.00233081701042765,2,9,GO:0000076,DNA replication checkpoint,0.0180185990806119
17,-1320,0.000416491865240604,6,84,GO:0000082;GO:0044843,G1/S transition of mitotic cell cycle,0.00449905671196543
18,-3782,0.003395101826044,6,7,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,0.0241766988383231
21,-1485,0.00488387366808063,4,42,GO:0000097;GO:0006555;GO:0009067;GO:0009086,sulfur amino acid biosynthetic process,0.0319860662284739
23,994,1.6704537333694e-05,2,223,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,0.00029926753127983
24,1837,0.0191102125324163,2,19,GO:0000132;GO:0040001;GO:0051294,establishment of mitotic spindle localization,0.0868552746775323
25,-3006,0.00828703400310835,6,9,GO:0000154;GO:0031167,rRNA modification,0.0473185449148817
26,3705,0.00410283707549741,4,7,GO:0000160,phosphorelay signal transduction system,0.0280084805194238
27,825,0.0109313211299402,5,112,GO:0000165;GO:0023014,signal transduction by phosphorylation,0.0573851989860117
28,-3518,0.0212369312339422,7,5,GO:0000183,chromatin silencing at rDNA,0.0939977113178148
29,1379,0.0204925380065672,4,33,GO:0000184,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,0.0917711908124982
39,-1360,0.0155769287728238,2,37,GO:0000272,polysaccharide catabolic process,0.0740779225067154
40,-1812,3.99426545477588e-08,4,108,GO:0000278,mitotic cell cycle,1.57430026137705e-06
41,-570,0.00143804312475853,2,377,GO:0000280;GO:0048285;GO:0007067,organelle fission,0.0123721308729573
47,-3828,0.000772728139854319,3,9,GO:0000303;GO:0019430;GO:0071451,response to superoxide,0.00745429481922144
48,-1710,9.15962051364474e-06,3,79,GO:0000375;GO:0000377;GO:0000398,RNA splicing, via transesterification reactions,0.000179687628265461
50,-2029,0.00247484362266242,4,26,GO:0000387,spliceosomal snRNP assembly,0.0188310573176066
51,-3849,9.34864037858025e-09,8,26,GO:0000413,protein peptidyl-prolyl isomerization,4.16506530550957e-07
53,-2631,0.0148690449710367,3,10,GO:0000460,maturation of 5.8S rRNA,0.0718210931125967
63,-2435,0.0135356085499,2,12,GO:0000731,DNA synthesis involved in DNA repair,0.067201716348917
67,854,0.00620971739518403,4,121,GO:0000902,cell morphogenesis,0.0389166048371108
68,932,0.0107714062382209,2,88,GO:0000904,cell morphogenesis involved in differentiation,0.0568985671179656
77,1036,0.0108144350031084,2,71,GO:0001503,ossification,0.0570368799385125
81,2066,0.00138642653027774,4,28,GO:0001508,action potential,0.0120679697468391
84,-2469,0.0222594715498674,3,10,GO:0001522,pseudouridine synthesis,0.0967529790344686
86,776,0.004063098000593,2,162,GO:0001525,angiogenesis,0.0279059834280079
92,4055,0.00793123132368061,4,5,GO:0001562;GO:0042832,response to protozoan,0.0461998610143921
93,1119,0.0208040058613576,2,50,GO:0001568,blood vessel development,0.0926737070810323
100,993,0.0138505074571958,4,72,GO:0001654;GO:0007423,sensory organ development,0.0683934155199074
104,2419,0.00462957881597164,2,16,GO:0001658,branching involved in ureteric bud morphogenesis,0.0307367722958431
118,-3231,0.00025006251902465,2,15,GO:0001731,formation of translation preinitiation complex,0.00296053038257855
122,2003,0.00409784082348597,2,24,GO:0001756,somitogenesis,0.0280084805194238
123,2001,4.97446764922704e-06,3,61,GO:0001764,neuron migration,0.000110088545492044
131,923,0.0015417601267034,2,139,GO:0001817,regulation of cytokine production,0.0131165823844666
132,1795,0.000206909255680547,2,50,GO:0001818,negative regulation of cytokine production,0.00254761723539757
133,998,0.0187292942202214,5,65,GO:0001819,positive regulation of cytokine production,0.085645777344491
134,1257,0.000466414893851212,2,91,GO:0001822,kidney development,0.00493521082070823
139,1748,0.0190483510501083,5,21,GO:0001838;GO:0072175,embryonic epithelial tube formation,0.0866904793758961
146,3598,0.00157758302421966,4,9,GO:0001892,embryonic placenta development,0.0133209379551316
149,-1834,0.000510763747800505,1,42,GO:0001906;GO:0031640;GO:0044364;GO:0019835;GO:0044179;GO:0051715,cell killing,0.00528882584113917
152,882,1.11267863353792e-05,2,297,GO:0001934;GO:0045860;GO:0033674;GO:0051347,positive regulation of protein phosphorylation,0.000212397614325378
157,1319,0.00223561188462264,4,63,GO:0001947;GO:0003143,embryonic heart tube morphogenesis,0.017401797336396
173,3229,0.0205713431834669,7,6,GO:0001994;GO:0001985;GO:0001996;GO:0001997,norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure,0.0917714993665598
174,1424,4.60763040954726e-09,3,201,GO:0002009;GO:0048729,tissue morphogenesis,2.22877665238957e-07
175,2872,0.000171131332369832,4,20,GO:0002011,morphogenesis of an epithelial sheet,0.00220159919354759
177,2733,0.0079592462231827,4,11,GO:0002026,regulation of the force of heart contraction,0.0461998610143921
178,2052,0.00181440251403765,2,27,GO:0002027,regulation of heart rate,0.014818091169611
179,1886,0.0161202165222025,2,19,GO:0002028,regulation of sodium ion transport,0.0763399344673813
180,3250,0.00710835385050996,6,8,GO:0002029;GO:0022401;GO:0002032,negative adaptation of signaling pathway,0.0428271995334995
183,1681,0.0092571772047937,7,28,GO:0002053;GO:0010464;GO:2000648,positive regulation of stem cell proliferation,0.0517441686287288
186,1056,0.00987167499925018,2,70,GO:0002064,epithelial cell development,0.0536524743939986
201,1780,0.000269924625079697,6,49,GO:0002218;GO:0002221;GO:0002758,activation of innate immune response,0.00314077244164898
206,1963,0.021572454086535,3,16,GO:0002250;GO:0002460,adaptive immune response,0.0948292909058549
207,720,0.0118817007337999,2,144,GO:0002252,immune effector process,0.0611631407541578
208,965,0.00316311725788364,3,110,GO:0002253;GO:0050778,positive regulation of immune response,0.0229342934372463
216,2717,0.0118858082150726,7,10,GO:0002335,mature B cell differentiation,0.0611631407541578
217,381,0.0124791675411007,1,525,GO:0002376,immune system process,0.0631606297371703
221,2401,0.00648311403067644,2,15,GO:0002443,leukocyte mediated immunity,0.0402048060583707
223,2495,0.0208777918544322,3,10,GO:0002449,lymphocyte mediated immunity,0.0927719202350491
224,3728,0.0146554977470865,3,5,GO:0002467,germinal center formation,0.0708907362451927
225,-3665,1.61696757882334e-06,2,20,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,4.21157863222756e-05
226,-3590,0.000491515993275652,2,11,GO:0002479;GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,0.00510513237187533
237,478,0.0192892671040188,3,286,GO:0002682,regulation of immune system process,0.0871059564532213
239,748,0.00787056457491675,2,149,GO:0002684,positive regulation of immune system process,0.0461068021637857
255,1245,0.000568440520067408,2,90,GO:0002757;GO:0002764,immune response-regulating signaling pathway,0.00572839166948882
256,1426,0.0111798750706079,2,37,GO:0002761;GO:0045639,regulation of myeloid leukocyte differentiation,0.0583410270066919
257,1659,0.0227959681786827,2,22,GO:0002763,positive regulation of myeloid leukocyte differentiation,0.0981505110917723
269,1487,4.42872096753331e-08,3,160,GO:0003002,regionalization,1.66618324400753e-06
271,2158,0.00128777763244282,2,26,GO:0003007,heart morphogenesis,0.0112964120814803
272,1280,1.91097170417458e-18,2,574,GO:0003008,system process,5.88231835485012e-16
273,1666,0.000269096636761477,3,56,GO:0003012;GO:0006936,muscle system process,0.00314077244164898
274,1556,9.26770456281463e-05,3,74,GO:0003013,circulatory system process,0.00137032522487731
278,1398,0.00292863807020026,2,53,GO:0003018;GO:0035150;GO:0050880,vascular process in circulatory system,0.0216514596194281
280,3435,0.00778390098950696,5,7,GO:0003057;GO:0003099,regulation of the force of heart contraction by chemical signal,0.0456902431300834
285,2350,0.00594414445053128,2,16,GO:0003151,outflow tract morphogenesis,0.0375501363983189
287,2467,0.00689976103477785,3,14,GO:0003179,heart valve morphogenesis,0.0420190483161111
290,2588,0.00458778037580497,3,14,GO:0003206;GO:0003208,cardiac chamber morphogenesis,0.0305191048182232
292,3734,0.00382308109503958,2,7,GO:0003215,cardiac right ventricle morphogenesis,0.0266906238923794
294,2479,1.79680558252097e-05,3,35,GO:0003279,cardiac septum development,0.000318363339038187
298,2614,0.0216607193190382,4,9,GO:0003344,pericardium morphogenesis,0.0948292909058549
306,-1220,5.64431024389882e-16,2,538,GO:0005975,carbohydrate metabolic process,9.5558172429207e-14
307,-1109,0.00804896353990738,3,67,GO:0005976,polysaccharide metabolic process,0.0464470628248813
311,-1996,1.74447334154388e-09,3,107,GO:0005996;GO:0019318,monosaccharide metabolic process,9.37585195947235e-08
314,-1752,6.38715920050971e-05,3,61,GO:0006006,glucose metabolic process,0.00096548754700562
315,-2996,0.000199014185219137,2,18,GO:0006007,glucose catabolic process,0.00246835908846886
328,-580,0.00587944112627149,3,269,GO:0006066;GO:1901615,organic hydroxy compound metabolic process,0.0372108180440285
333,-1746,0.0106494524327897,4,25,GO:0006073;GO:0044042,glucan metabolic process,0.0564304318269576
334,-2828,5.86431403436484e-06,2,30,GO:0006081,cellular aldehyde metabolic process,0.000128106885937802
335,-1427,1.62025416173727e-25,2,661,GO:0006082;GO:0019752;GO:0043436,organic acid metabolic process,1.8287268638808e-22
336,-3257,0.000222422387560966,2,15,GO:0006084,acetyl-CoA metabolic process,0.00269936273935997
337,-3838,0.00294782791357786,4,7,GO:0006085,acetyl-CoA biosynthetic process,0.0217458503602933
338,-1712,0.00402275717149103,2,33,GO:0006090,pyruvate metabolic process,0.0277602207829687
339,-1393,0.000232346998348712,2,82,GO:0006091,generation of precursor metabolites and energy,0.00277995383890014
343,-4472,1.41265564295384e-05,8,11,GO:0006098;GO:0006740,NADPH regeneration,0.000259959348208788
344,-2250,3.97164010050933e-05,3,39,GO:0006099,tricarboxylic acid cycle,0.000643220585252254
345,-2990,0.0205441708906892,4,7,GO:0006103,2-oxoglutarate metabolic process,0.0917711908124982
346,-2739,0.023300332396282,2,8,GO:0006105,succinate metabolic process,0.0992446309021775
347,-4854,0.00148039525112454,2,5,GO:0006107,oxaloacetate metabolic process,0.0126901729628043
354,1158,1.42105176228907e-11,6,411,GO:0006140;GO:1900542,regulation of nucleotide metabolic process,1.14563839693114e-09
355,-1901,0.00456812088815785,2,26,GO:0006144,purine nucleobase metabolic process,0.030459826722559
356,3545,0.0033249582722911,2,8,GO:0006145;GO:0046113,nucleobase catabolic process,0.0239029908916723
357,-470,0.000826049576456074,2,623,GO:0006152;GO:0009164;GO:0072523;GO:1901136;GO:1901658;GO:0006195;GO:0009166;GO:1901292;GO:0046434;GO:0009154;GO:0009207;GO:0046130;GO:0009261;GO:0009146;GO:0009203;GO:0009205;GO:0042454;GO:0009143;GO:0009144;GO:0009199;GO:0009141,carbohydrate derivative catabolic process,0.00787888412924019
