gene_ID,Fishers_sym
isogroup10000,1
isogroup10002,0
isogroup10003,0
isogroup10007,0
isogroup10008,1
isogroup10012,0
isogroup10014,1
isogroup10019,0
isogroup10020,1
isogroup10022,0
isogroup10025,1
isogroup10029,1
isogroup1003,0
isogroup10034,1
isogroup10036,1
isogroup10038,0
isogroup10041,0
isogroup10043,0
isogroup10044,0
isogroup10045,0
isogroup10049,0
isogroup10068,0
isogroup10069,0
isogroup10074,0
isogroup1008,0
isogroup10081,0
isogroup1009,0
isogroup10117,0
isogroup10118,0
isogroup10129,0
isogroup10131,0
isogroup10134,0
isogroup10137,0
isogroup10138,1
isogroup10143,0
isogroup10148,0
isogroup10150,1
isogroup10155,0
isogroup10168,0
isogroup10176,0
isogroup10177,0
isogroup10179,1
isogroup10180,0
isogroup10185,0
isogroup10187,0
isogroup10188,0
isogroup10195,0
isogroup10200,0
isogroup10214,0
isogroup10225,0
isogroup10227,1
isogroup10262,1
isogroup10265,0
isogroup10279,0
isogroup10280,1
isogroup10284,1
isogroup10288,1
isogroup10291,0
isogroup10316,0
isogroup1033,0
isogroup1034,0
isogroup10343,0
isogroup10361,0
isogroup10363,0
isogroup10364,0
isogroup10375,1
isogroup10388,0
isogroup10394,0
isogroup10412,0
isogroup10413,1
isogroup10422,0
isogroup10491,0
isogroup10492,0
isogroup10493,0
isogroup10494,0
isogroup10504,1
isogroup10509,0
isogroup10511,0
isogroup10512,0
isogroup10515,1
isogroup10518,1
isogroup1052,0
isogroup10522,0
isogroup10525,0
isogroup10527,0
isogroup10528,0
isogroup10533,0
isogroup10534,0
isogroup10546,0
isogroup10550,0
isogroup10557,0
isogroup10560,1
isogroup10567,0
isogroup10583,1
isogroup10586,0
isogroup10587,1
isogroup10590,0
isogroup10596,1
isogroup10604,1
isogroup10606,1
isogroup10614,0
isogroup10618,1
isogroup10623,0
isogroup10630,0
isogroup1064,0
isogroup10644,0
isogroup10649,1
isogroup10661,1
isogroup10662,0
isogroup10665,0
isogroup10666,0
isogroup10671,0
isogroup10675,0
isogroup10678,0
isogroup10684,1
isogroup10688,0
isogroup10690,1
isogroup10699,0
isogroup10704,0
isogroup10707,0
isogroup10708,0
isogroup1071,0
isogroup10716,0
isogroup10717,1
isogroup10723,0
isogroup10730,0
isogroup10735,0
isogroup10738,1
isogroup10764,1
isogroup10767,0
isogroup1079,0
isogroup1080,1
isogroup1081,0
isogroup10818,0
isogroup10855,0
isogroup10859,0
isogroup1086,0
isogroup10860,0
isogroup10867,0
isogroup10882,0
isogroup10885,0
isogroup1089,1
isogroup10891,1
isogroup10892,1
isogroup10899,0
isogroup10918,0
isogroup10921,0
isogroup10924,0
isogroup10925,0
isogroup1093,0
isogroup10933,1
isogroup10950,0
isogroup10955,1
isogroup10959,0
isogroup10966,0
isogroup10977,1
isogroup10981,0
isogroup10990,0
isogroup10991,1
isogroup11,0
isogroup11024,0
isogroup11035,0
isogroup11037,1
isogroup11041,0
isogroup11075,0
isogroup11091,0
isogroup11099,0
isogroup11102,0
isogroup11107,0
isogroup11113,0
