Treat	Day	Mortality	X	symstat	food
SF	6	2	S1F	S	F
SF	8	2	S2F	S	F
SF	11	2	S3F	S	F
SF	9	2	S4F	S	F
SF	8	2	S5F	S	F
SF	9	2	S6F	S	F
SF	7	2	S7F	S	F
SF	6	2	S8F	S	F
SF	5	2	S9F	S	F
SF	5	2	S10F	S	F
SF	5	2	S11F	S	F
SF	5	2	S12F	S	F
SF	3	2	S13F	S	F
SF	5	2	S14F	S	F
SF	5	2	S15F	S	F
SF	4	2	S16F	S	F
SF	5	2	S17F	S	F
SF	3	2	S18F	S	F
SF	5	2	S19F	S	F
SF	3	2	S20F	S	F
SF	5	2	S21F	S	F
SF	4	2	S22F	S	F
SF	5	2	S23F	S	F
SF	4	2	S24F	S	F
SF	4	2	S25F	S	F
SF	5	2	S26F	S	F
SF	4	2	S27F	S	F
SF	8	2	S28F	S	F
SF	9	2	S29F	S	F
SF	8	2	S30F	S	F
SF	4	2	S31F	S	F
SF	5	2	S32F	S	F
SF	5	2	S33F	S	F
SF	8	2	S34F	S	F
SF	6	2	S35F	S	F
SF	8	2	S36F	S	F
SF	4	2	S37F	S	F
SF	3	2	S38F	S	F
SF	6	2	S39F	S	F
SF	8	2	S40F	S	F
SF	8	2	S41F	S	F
SF	9	2	S42F	S	F
SF	2	2	S43F	S	F
SF	4	2	S44F	S	F
SF	5	2	S45F	S	F
SF	8	2	S46F	S	F
SF	5	2	S47F	S	F
SF	8	2	S48F	S	F
SS	9	2	S1S	S	S
SS	5	2	S2S	S	S
SS	10	2	S3S	S	S
SS	9	2	S4S	S	S
SS	17	2	S5S	S	S
SS	9	2	S6S	S	S
SS	7	2	S7S	S	S
SS	8	2	S8S	S	S
SS	7	2	S9S	S	S
SS	11	2	S10S	S	S
SS	11	2	S11S	S	S
SS	16	2	S12S	S	S
SS	7	2	S13S	S	S
SS	8	2	S14S	S	S
SS	9	2	S15S	S	S
SS	9	2	S16S	S	S
SS	12	2	S17S	S	S
SS	12	2	S18S	S	S
SS	4	2	S19S	S	S
SS	6	2	S20S	S	S
SS	5	2	S21S	S	S
SS	10	2	S22S	S	S
SS	10	2	S23S	S	S
SS	12	2	S24S	S	S
SS	5	2	S25S	S	S
SS	9	2	S26S	S	S
SS	9	2	S27S	S	S
SS	10	2	S28S	S	S
SS	8	2	S29S	S	S
SS	7	2	S30S	S	S
SS	19	2	S31S	S	S
SS	16	2	S32S	S	S
SS	4	2	S33S	S	S
SS	13	2	S34S	S	S
SS	12	2	S35S	S	S
SS	11	2	S36S	S	S
SS	15	2	S37S	S	S
SS	8	2	S38S	S	S
SS	15	2	S39S	S	S
SS	11	2	S40S	S	S
SS	28	1	S41S	S	S
SS	11	2	S42S	S	S
SS	10	2	S43S	S	S
SS	9	2	S44S	S	S
SS	20	2	S45S	S	S
SS	22	2	S46S	S	S
SS	28	1	S47S	S	S
SS	13	2	S48S	S	S
AF	12	2	A1F	A	F
AF	16	2	A2F	A	F
AF	25	2	A3F	A	F
AF	21	2	A4F	A	F
AF	13	2	A5F	A	F
AF	14	2	A6F	A	F
AF	12	2	A7F	A	F
AF	28	1	A8F	A	F
AF	17	2	A9F	A	F
AF	15	2	A10F	A	F
AF	4	2	A11F	A	F
AF	28	1	A12F	A	F
AF	4	2	A13F	A	F
AF	4	2	A14F	A	F
AF	5	2	A15F	A	F
AF	5	2	A16F	A	F
AF	6	2	A17F	A	F
AF	28	1	A18F	A	F
AF	4	2	A19F	A	F
AF	6	2	A20F	A	F
AF	4	2	A21F	A	F
AF	12	2	A22F	A	F
AF	5	2	A23F	A	F
AF	5	2	A24F	A	F
AF	5	2	A25F	A	F
AF	5	2	A26F	A	F
AF	5	2	A27F	A	F
AF	8	2	A28F	A	F
AF	5	2	A29F	A	F
AF	9	2	A30F	A	F
AF	5	2	A31F	A	F
AF	5	2	A32F	A	F
AF	3	2	A33F	A	F
AF	5	2	A34F	A	F
AF	5	2	A35F	A	F
AF	6	2	A36F	A	F
AF	5	2	A37F	A	F
AF	5	2	A38F	A	F
AF	5	2	A39F	A	F
AF	3	2	A40F	A	F
AF	6	2	A41F	A	F
AF	6	2	A42F	A	F
AF	9	2	A43F	A	F
AF	9	2	A44F	A	F
AF	4	2	A45F	A	F
AF	5	2	A46F	A	F
AF	5	2	A47F	A	F
AF	5	2	A48F	A	F
AS	4	2	A1S	A	S
AS	5	2	A2S	A	S
AS	3	2	A3S	A	S
AS	4	2	A4S	A	S
AS	4	2	A5S	A	S
AS	4	2	A6S	A	S
AS	6	2	A7S	A	S
AS	4	2	A8S	A	S
AS	3	2	A9S	A	S
AS	4	2	A10S	A	S
AS	4	2	A11S	A	S
AS	4	2	A12S	A	S
AS	4	2	A13S	A	S
AS	4	2	A14S	A	S
AS	4	2	A15S	A	S
AS	4	2	A16S	A	S
AS	5	2	A17S	A	S
AS	5	2	A18S	A	S
AS	5	2	A19S	A	S
AS	4	2	A20S	A	S
AS	3	2	A21S	A	S
AS	4	2	A22S	A	S
AS	4	2	A23S	A	S
AS	4	2	A24S	A	S
AS	3	2	A25S	A	S
AS	3	2	A26S	A	S
AS	3	2	A27S	A	S
AS	3	2	A28S	A	S
AS	4	2	A29S	A	S
AS	3	2	A30S	A	S
AS	4	2	A31S	A	S
AS	3	2	A32S	A	S
AS	3	2	A33S	A	S
AS	5	2	A34S	A	S
AS	3	2	A35S	A	S
AS	5	2	A36S	A	S
AS	3	2	A37S	A	S
AS	4	2	A38S	A	S
AS	5	2	A39S	A	S
AS	6	2	A40S	A	S
AS	5	2	A41S	A	S
AS	5	2	A42S	A	S
AS	5	2	A43S	A	S
AS	4	2	A44S	A	S
AS	4	2	A45S	A	S
AS	4	2	A46S	A	S
AS	5	2	A47S	A	S
AS	6	2	A48S	A	S
