name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
alpha-amino acid metabolic process	-1238	8.69388270141559e-08	2	222	GO:1901605	3.06640487781179e-06	-397	0.00256095720047301	2	107	GO:1901605	0.0539458102052579
antigen processing and presentation	-1718	0.00194168366148626	3	38	GO:0048002;GO:0019882;GO:0002478;GO:0019884	0.0155736710965911	-635	1.01534723292219e-06	2	110	GO:0002478;GO:0048002;GO:0019884;GO:0019882	0.000201997691171909
antigen processing and presentation of peptide antigen via MHC class I	-3662	1.62324843890154e-06	4	20	GO:0002474	4.22793785701586e-05	-967	9.31712070531976e-08	3	56	GO:0002474	2.78038410381251e-05
ATP biosynthetic process	-4118	2.9986649785716e-06	2	15	GO:0006754	7.00239973616789e-05	-1128	4.24882653848475e-05	2	24	GO:0006754	0.00316980163214873
carbohydrate biosynthetic process	-1150	0.00717198603024788	2	64	GO:0016051	0.0429088190305494	-677	3.36709685588396e-06	2	87	GO:0016051	0.000510042153134627
carbohydrate catabolic process	-1811	1.45490071350512e-07	2	99	GO:0016052	4.82969981953758e-06	-567	0.000564043166128413	2	68	GO:0016052	0.0192365578848176
carbohydrate derivative biosynthetic process	-1045	1.94368827226249e-05	3	198	GO:1901137	0.000339243736591793	-457	0.000136465618019634	4	130	GO:1901137	0.00744637636565447
carbohydrate metabolic process	-1220	5.53244512167507e-16	2	538	GO:0005975	9.3664295909959e-14	-415	1.4166456867706e-05	2	208	GO:0005975	0.00153727521343198
cell cycle checkpoint	-983	0.0178242772439698	2	68	GO:0000075	0.0823369750997022	376	0.00228036131811448	2	123	GO:0000075;GO:0007093	0.0507203346594283
cellular aldehyde metabolic process	-2827	5.86879678293073e-06	2	30	GO:0006081	0.000127382986583355	-763	0.000359092284997588	3	40	GO:0006081	0.014236523202771
cellular amide metabolic process	-2119	2.37682213327352e-10	3	105	GO:0043603	1.46325813513893e-08	-326	0.000356111986990685	2	229	GO:0043603	0.014236523202771
