name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
'de novo' posttranslational protein folding	-2982	0.00113171257599057	7	7	GO:0006458;GO:0051084	0.0144194080405816	-4850	0.000171654514795205	4	7	GO:0006458;GO:0051084	0.00220159919354759
acetyl-CoA biosynthetic process	-2394	0.0155320067887526	5	6	GO:0006085	0.0953921347173918	-3838	0.00294782791357786	4	7	GO:0006085	0.0217458503602933
acetyl-CoA metabolic process	-2122	0.00242781900269649	3	12	GO:0006084	0.0257368002516383	-3257	0.000222422387560966	2	15	GO:0006084	0.00269936273935997
actin-mediated cell contraction	2042	0.00773963523227931	3	10	GO:0070252	0.0590121793957255	2219	0.0191587119090554	2	13	GO:0070252	0.0869589792547742
actin-myosin filament sliding	2429	0.0140899607435542	6	6	GO:0033275	0.0893697291703602	3057	0.0113616507398469	6	8	GO:0033275	0.0589135519220852
action potential	1361	0.0144690913073731	2	19	GO:0001508	0.0911772456570908	2066	0.00138642653027774	4	28	GO:0001508	0.0120679697468391
activation of adenylate cyclase activity	2222	0.00950791846796968	7	8	GO:0007190	0.0680307959346106	3097	0.00168363565202078	3	12	GO:0007190	0.0139628080959763
activation of protein kinase activity	871	0.000430690729671927	2	97	GO:0032147	0.00685421032246219	1274	3.845884151301e-05	6	123	GO:0032147	0.000626065564245442
adaptive immune response	1778	0.00606328477888377	3	14	GO:0002250;GO:0002460	0.0497566166176761	1963	0.021572454086535	3	16	GO:0002250;GO:0002460	0.0948292909058549
adrenergic receptor signaling pathway	1837	0.000964114724932966	6	19	GO:0071875	0.0126730917462908	2814	2.26717188203425e-06	3	33	GO:0071875	5.60338977559706e-05
adult behavior	965	0.0109414097083122	3	41	GO:0030534	0.0756780838158261	1355	0.00217310686631582	2	60	GO:0030534	0.0170722502304997
adult heart development	1996	0.00923731877736034	4	10	GO:0007512	0.0672541630281498	2445	0.00985449762089698	4	13	GO:0007512	0.0536452233832109
alpha-amino acid metabolic process	-863	2.14478961511456e-06	6	181	GO:1901605	9.73533411235593e-05	-1241	8.12625046318358e-08	6	222	GO:1901605	2.89636674403575e-06
anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	-2655	0.000148872833024405	2	12	GO:0031145	0.00316608061232854	-4178	2.13112878782393e-07	7	18	GO:0031145	6.85826206544103e-06
anatomical structure morphogenesis	591	1.63296543945734e-08	2	576	GO:0009653	1.53024664568502e-06	833	3.4072514513971e-11	2	791	GO:0009653	2.45467093924055e-09
anion transport	462	0.0152591377300845	2	165	GO:0006820	0.0947175109100331	561	0.0105172164883029	2	248	GO:0006820	0.0559047017729884
anterior/posterior pattern specification	842	0.0109147044865384	2	54	GO:0009952	0.0756735478123963	1257	0.000776414138321083	4	84	GO:0009952	0.00746857463737269
antigen processing and presentation	-1129	0.00667981355576531	3	34	GO:0048002;GO:0019882;GO:0002478;GO:0019884	0.0523042004838227	-1720	0.00192989267022385	3	38	GO:0048002;GO:0019882;GO:0002478;GO:0019884	0.0154848734155876
antigen processing and presentation of peptide antigen via MHC class I	-2506	2.04732149262095e-05	2	17	GO:0002474	0.000619528014173319	-3665	1.61696757882334e-06	2	20	GO:0002474	4.21157863222756e-05
aspartate family amino acid metabolic process	-984	0.00718999378508188	7	44	GO:0009066	0.0554030025083896	-1972	3.2472158373262e-05	2	52	GO:0009066	0.000541629203211158
associative learning	1580	0.0035789674574351	3	20	GO:0008306	0.0335383885930612	1677	0.00325946452559766	2	36	GO:0008306	0.023542630001133
ATP biosynthetic process	-1927	0.00293746619517224	3	14	GO:0006754;GO:0015985;GO:0015986	0.0297328895364995	-4122	2.97811036435091e-06	3	15	GO:0006754	7.00269562061957e-05
ATP hydrolysis coupled proton transport	-2161	0.000557438788300975	5	15	GO:0015988;GO:0015991	0.00856786187594401	-3398	0.00011738505858695	7	15	GO:0015988;GO:0015991	0.00165610753489755
axonal fasciculation	2044	0.000747587117409738	2	16	GO:0007413	0.010645787137624	2184	0.00139954393671578	2	25	GO:0007413	0.0121441441120004
behavior	773	7.87253036149257e-06	2	201	GO:0007610	0.000293201291027384	1197	5.27807004513657e-09	2	284	GO:0007610	2.48215905178228e-07
behavioral response to ethanol	2575	0.00926942117217649	4	6	GO:0048149	0.0673191712629318	3751	0.000987321267890547	4	9	GO:0048149	0.00903532381912809
benzene-containing compound metabolic process	-1940	0.0027567198126613	2	14	GO:0042537	0.0282977775822653	-2182	0.00675187629065117	2	18	GO:0042537	0.0414164005799726
blood circulation	2487	0.0011753156582496	5	10	GO:0008015	0.0147804847931389	2141	0.00508975064593071	2	20	GO:0008015	0.0329519994017617
bone remodeling	2971	0.000527621037963898	2	8	GO:0046849	0.0081964658571397	3281	0.000533891607377847	3	13	GO:0046849	0.00544505115235358
brain development	714	0.0100907862516284	3	77	GO:0007420	0.071847387404364	932	0.00605361979495522	2	102	GO:0007420	0.0380995476314468
calcium ion transmembrane transport	1437	2.61844576050107e-09	5	102	GO:0070588	3.3072108409807e-07	2351	1.70705664102839e-16	4	145	GO:0070588	3.40005516854243e-14
calcium-dependent cell-cell adhesion	2512	0.00187849399204332	2	9	GO:0016339	0.0209885578726379	3819	0.000107621940580651	2	12	GO:0016339	0.00155729867865848
camera-type eye development	1410	0.013639024049245	5	18	GO:0043010	0.0874643815961517	2181	0.00221089487608238	2	23	GO:0043010	0.0172490554157026
carbohydrate biosynthetic process	-1210	0.00211936986481639	2	38	GO:0016051	0.0232330922916665	-1151	0.00715170919605956	2	64	GO:0016051	0.0429356158472654
carbohydrate catabolic process	-1023	0.000298312856193093	4	74	GO:0016052	0.00528413931244473	-1812	1.44781395434974e-07	3	99	GO:0016052	4.80617455826296e-06
carbohydrate derivative biosynthetic process	-529	0.00764219842254166	2	152	GO:1901137	0.0584225958354829	-1045	1.96227230637404e-05	2	198	GO:1901137	0.000344261866807383
carbohydrate derivative catabolic process	-282	0.0147165044903905	3	466	GO:0006152;GO:0009164;GO:0072523;GO:1901136;GO:1901658;GO:0006195;GO:0009166;GO:1901292;GO:0046434;GO:0009154;GO:0009207;GO:0046130;GO:0009261;GO:0009146;GO:0009203;GO:0009205;GO:0009144;GO:0009199;GO:0009141;GO:0042454;GO:0009143	0.0922551214504816	-470	0.000826049576456074	2	623	GO:0006152;GO:0009164;GO:0072523;GO:1901136;GO:1901658;GO:0006195;GO:0009166;GO:1901292;GO:0046434;GO:0009154;GO:0009207;GO:0046130;GO:0009261;GO:0009146;GO:0009203;GO:0009205;GO:0042454;GO:0009143;GO:0009144;GO:0009199;GO:0009141	0.00787888412924019
carbohydrate metabolic process	-765	9.51956062729791e-10	2	394	GO:0005975	1.53635131235002e-07	-1220	5.64431024389882e-16	2	538	GO:0005975	9.5558172429207e-14
cardiac septum development	1633	0.00029063115801219	3	29	GO:0003279	0.0051796534602786	2479	1.79680558252097e-05	3	35	GO:0003279	0.000318363339038187
cation transport	645	1.07726595055556e-07	2	419	GO:0006812	8.45799347665919e-06	952	2.59992546548431e-11	2	602	GO:0006812	1.9562994724733e-09
cell communication	812	3.62002136863743e-07	3	237	GO:0007154	2.14615552569219e-05	1343	1.48372053231515e-13	2	364	GO:0007154	1.67462590747303e-11
cell cycle	-474	4.97040784943055e-05	2	454	GO:0007049	0.00129317062122288	-669	2.95165110144778e-06	3	599	GO:0007049	6.9890144262253e-05
cell differentiation	429	8.99183294002316e-06	2	684	GO:0030154	0.000329597455649017	790	2.94471415145345e-11	2	894	GO:0030154	2.16756567756987e-09
cell growth	1117	0.00256640864921135	2	43	GO:0016049	0.0266264897355678	1402	0.00198866055457349	2	57	GO:0016049	0.0158437756183196
cell killing	-2369	1.71951021311032e-06	1	24	GO:0001906;GO:0031640;GO:0044364;GO:0019835;GO:0044179;GO:0051715	8.18881503128767e-05	-1834	0.000510763747800505	1	42	GO:0001906;GO:0031640;GO:0044364;GO:0019835;GO:0044179;GO:0051715	0.00528882584113917
cell motility	708	1.35911718827169e-05	4	228	GO:0016477;GO:0048870	0.000459097143247588	652	0.000801244636404712	2	317	GO:0016477;GO:0048870	0.00768559302795001
cell projection organization	389	0.00299033575412186	2	358	GO:0030030	0.0297497444031644	403	0.0139543191228851	2	452	GO:0030030	0.06857666843264
