name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
alpha-amino acid metabolic process	-862	2.15643703713357e-06	6	181	GO:1901605	9.7882024888641e-05	-397	0.00256095720047301	2	107	GO:1901605	0.0539458102052579
amino sugar metabolic process	-1351	0.000223178136928986	2	44	GO:0006040;GO:1901071	0.00432221658519136	-980	0.00275513275337625	3	17	GO:1901071;GO:0006040	0.0554873061990259
antigen processing and presentation	-1129	0.00665373922125492	3	34	GO:0048002;GO:0019882;GO:0002478;GO:0019884	0.0519248225621939	-635	1.01534723292219e-06	2	110	GO:0002478;GO:0048002;GO:0019884;GO:0019882	0.000201997691171909
antigen processing and presentation of peptide antigen via MHC class I	-2504	2.05442228829195e-05	2	17	GO:0002474	0.000621676744530012	-967	9.31712070531976e-08	3	56	GO:0002474	2.78038410381251e-05
aromatic amino acid family catabolic process	-2347	0.00029017546223337	2	14	GO:0009074	0.00524316819055502	-1223	0.00649839147370917	2	9	GO:0009074	0.0931522833903281
ATP biosynthetic process	-1927	0.00293339734170175	3	14	GO:0006754;GO:0015985;GO:0015986	0.0294862258741993	-1128	4.24882653848475e-05	2	24	GO:0006754	0.00316980163214873
carbohydrate biosynthetic process	-1210	0.00211895330253673	2	38	GO:0016051	0.0231412005408617	-677	3.36709685588396e-06	2	87	GO:0016051	0.000510042153134627
carbohydrate catabolic process	-1023	0.00029704192544352	2	74	GO:0016052	0.00529390670805783	-567	0.000564043166128413	2	68	GO:0016052	0.0192365578848176
carbohydrate derivative biosynthetic process	-530	0.00752995430626247	2	152	GO:1901137	0.0573291542757203	-457	0.000136465618019634	4	130	GO:1901137	0.00744637636565447
carbohydrate metabolic process	-762	1.09234064276765e-09	3	394	GO:0005975	1.67013135117896e-07	-415	1.4166456867706e-05	2	208	GO:0005975	0.00153727521343198
cellular aldehyde metabolic process	-1675	0.00154307109921238	2	21	GO:0006081	0.0179304861728479	-763	0.000359092284997588	3	40	GO:0006081	0.014236523202771
cellular amide metabolic process	-1077	5.02699122483709e-05	3	84	GO:0043603	0.00130387584894212	-326	0.000356111986990685	2	229	GO:0043603	0.014236523202771
cellular amino acid catabolic process	-1226	6.58520369634628e-06	2	80	GO:1901606;GO:0009063	0.000255066889838479	-616	0.00103307606604387	2	52	GO:0009063;GO:1901606	0.0299540829113891
cellular amino acid metabolic process	-998	5.59457336798208e-11	2	261	GO:0006520	1.47747596672618e-08	-524	3.7684034525967e-06	5	146	GO:0006520	0.000510042153134627
chemical homeostasis	535	0.00132515204021492	4	217	GO:0048878	0.0161746499026233	-259	0.00116898502802684	4	304	GO:0048878	0.0327041826981571
covalent chromatin modification	497	0.0104057974036534	6	159	GO:0016569;GO:0016570	0.0732579223443247	530	5.23300156580408e-07	2	169	GO:0016570;GO:0016569	0.000110231638865555
cyclic nucleotide metabolic process	1694	0.00177600586902731	6	20	GO:0009187	0.0199972753857532	1115	0.00419262876928932	2	12	GO:0046058;GO:0009187	0.072530452284179
