query COG_category	
AIPGENE13666	Transcription
AIPGENE13666	Replication, recombination and repair
AIPGENE13666	Signal transduction mechanisms
AIPGENE28336	
AIPGENE28801	Posttranslational modification, protein turnover, chaperones
AIPGENE8434	
AIPGENE27850	Transcription
AIPGENE10309	Signal transduction mechanisms
AIPGENE3509	Posttranslational modification, protein turnover, chaperones
AIPGENE1387	Chromatin structure and dynamics
AIPGENE1387	Cell cycle control, cell division, chromosome partitioning
AIPGENE12798	
AIPGENE9363	Translation, ribosomal structure and biogenesis
AIPGENE17145	Signal transduction mechanisms
AIPGENE26844	Secondary metabolites biosynthesis, transport and catabolism
AIPGENE18860	RNA processing and modification
AIPGENE4893	Posttranslational modification, protein turnover, chaperones
AIPGENE4893	Intracellular trafficking, secretion, and vesicular transport
AIPGENE14392	Posttranslational modification, protein turnover, chaperones
AIPGENE19720	Inorganic ion transport and metabolism
AIPGENE7022	
AIPGENE1244	Signal transduction mechanisms
AIPGENE1969	Carbohydrate transport and metabolism
AIPGENE1969	Cell wall/membrane/envelope biogenesis
AIPGENE2203	Posttranslational modification, protein turnover, chaperones
AIPGENE22305	
AIPGENE21215	Replication, recombination and repair
AIPGENE28828	Translation, ribosomal structure and biogenesis
AIPGENE15101	Signal transduction mechanisms
AIPGENE25867	Posttranslational modification, protein turnover, chaperones
AIPGENE23788	Signal transduction mechanisms
AIPGENE13334	Intracellular trafficking, secretion, and vesicular transport
AIPGENE11427	Posttranslational modification, protein turnover, chaperones
AIPGENE22961	Lipid transport and metabolism
AIPGENE26831	
AIPGENE20962	Signal transduction mechanisms
AIPGENE20962	Intracellular trafficking, secretion, and vesicular transport
AIPGENE1322	Posttranslational modification, protein turnover, chaperones
AIPGENE5804	Intracellular trafficking, secretion, and vesicular transport
AIPGENE9968	Signal transduction mechanisms
AIPGENE26002	
AIPGENE9961	Signal transduction mechanisms
AIPGENE9985	RNA processing and modification
AIPGENE18931	Posttranslational modification, protein turnover, chaperones
AIPGENE6327	Transcription
AIPGENE20873	Posttranslational modification, protein turnover, chaperones
AIPGENE13020	Inorganic ion transport and metabolism
AIPGENE13020	Signal transduction mechanisms
AIPGENE1203	Translation, ribosomal structure and biogenesis
AIPGENE4261	Signal transduction mechanisms
AIPGENE21881	Amino acid transport and metabolism
AIPGENE8	Signal transduction mechanisms
AIPGENE18469	Carbohydrate transport and metabolism
AIPGENE15700	Coenzyme transport and metabolism
AIPGENE11763	Lipid transport and metabolism
AIPGENE21091	Translation, ribosomal structure and biogenesis
AIPGENE19727	
AIPGENE27274	Nucleotide transport and metabolism
AIPGENE21234	Energy production and conversion
AIPGENE16073	Posttranslational modification, protein turnover, chaperones
AIPGENE8611	Signal transduction mechanisms
AIPGENE14419	Inorganic ion transport and metabolism
AIPGENE28829	Intracellular trafficking, secretion, and vesicular transport
AIPGENE12028	Transcription
AIPGENE24727	Translation, ribosomal structure and biogenesis
AIPGENE12882	Signal transduction mechanisms
AIPGENE13581	Signal transduction mechanisms
AIPGENE29187	
AIPGENE3419	
AIPGENE23416	Cell wall/membrane/envelope biogenesis
AIPGENE10430	Signal transduction mechanisms
AIPGENE15852	
AIPGENE13661	Cytoskeleton
AIPGENE7514	RNA processing and modification
AIPGENE39	
