gene_ID	NFKB_sites	Log2FC_SYM_0_3h	padj_SYM_0_3h	Log2FC_APO_0_3h	padj_APO_0_3h
isogroup11821	0	6.06	0.00	6.44	0.00
isogroup16447	0	5.61	0.00	0.84	NA
isogroup454	0	5.41	0.00	2.84	0.01
isogroup11683	0	5.33	0.00	3.32	0.00
isogroup12869	0	5.01	0.00	4.79	0.00
isogroup25224	1	4.84	0.00	2.78	0.05
isogroup10778	0	4.70	0.00	4.22	0.00
isogroup8055	0	4.54	0.00	5.07	0.00
isogroup14190	0	4.28	0.02	5.71	0.01
isogroup14882	3	4.23	0.00	6.11	0.00
isogroup6180	0	4.23	0.00	1.23	0.17
isogroup20835	1	4.22	0.00	5.07	0.00
isogroup10202	0	4.21	0.00	5.36	0.00
isogroup3163	0	4.21	0.00	4.38	0.00
isogroup7653	0	4.13	0.01	2.86	NA
isogroup16653	0	4.10	0.01	5.55	0.00
isogroup15316	1	4.03	0.00	3.64	0.00
isogroup21139	0	3.95	0.00	3.70	0.00
isogroup28944	0	3.89	0.00	1.22	NA
isogroup27502	0	3.88	0.02	3.24	0.00
isogroup18569	3	3.85	0.00	4.39	0.00
isogroup14608	1	3.83	0.00	4.35	0.00
isogroup10352	0	3.81	0.00	3.60	0.00
isogroup12881	0	3.81	0.00	2.73	0.00
isogroup950	0	3.79	0.01	1.31	0.27
isogroup6367	0	3.77	0.00	1.54	0.14
isogroup2135	0	3.77	0.02	1.35	0.20
isogroup5956	0	3.73	0.00	4.33	0.00
isogroup15383	0	3.73	0.00	2.73	0.00
isogroup201	2	3.72	0.00	3.42	0.00
isogroup18459	0	3.65	0.00	3.51	0.00
isogroup26625	0	3.57	0.00	3.82	0.00
isogroup23473	0	3.56	0.00	4.09	0.00
isogroup15678	0	3.55	0.01	3.40	0.01
isogroup15601	0	3.52	0.00	3.92	0.00
isogroup16147	0	3.51	0.00	4.52	0.00
isogroup24618	0	3.50	0.00	0.22	0.86
isogroup263	0	3.48	0.00	2.17	0.00
isogroup141	0	3.48	0.00	1.86	0.00
isogroup25761	0	3.44	0.00	4.82	0.00
isogroup18543	0	3.44	0.00	4.04	0.00
isogroup3226	1	3.40	0.00	3.82	0.00
isogroup3894	0	3.39	0.00	2.48	0.00
isogroup2465	0	3.39	0.00	3.03	0.00
isogroup24360	0	3.38	0.00	3.20	0.00
isogroup6802	1	3.38	0.01	4.26	0.00
isogroup23083	0	3.37	0.00	2.62	0.00
isogroup20036	0	3.37	0.00	1.89	0.20
isogroup18272	0	3.37	0.04	0.28	NA
isogroup17439	1	3.31	0.00	3.79	0.00
isogroup6355	0	3.30	0.00	-0.35	0.71
isogroup4345	0	3.27	0.01	1.21	0.15
isogroup8026	0	3.26	0.00	3.95	0.00
isogroup27057	7	3.22	0.00	3.93	0.00
isogroup6025	0	3.22	0.00	3.79	0.00
isogroup24559	0	3.22	0.00	4.25	0.00
isogroup12566	0	3.21	0.00	3.19	0.00
isogroup3334	2	3.20	0.03	3.22	0.05
isogroup26482	0	3.20	0.00	3.83	0.00
isogroup20436	0	3.18	0.00	4.00	0.00
isogroup15161	0	3.15	0.00	2.29	0.00
isogroup11876	0	3.15	0.00	3.49	0.00
isogroup8877	0	3.13	0.00	4.25	0.00
isogroup15995	0	3.12	0.00	4.22	0.00
isogroup22726	0	3.12	0.00	3.97	0.00
isogroup12568	0	3.12	0.00	2.88	0.00
isogroup13148	0	3.11	0.00	2.07	0.00
isogroup1661	0	3.10	0.00	3.77	0.00
isogroup11333	0	3.08	0.00	1.37	0.00
isogroup27025	5	3.08	0.00	3.24	0.00
isogroup25409	0	3.07	0.00	4.28	0.00
isogroup28345	0	3.04	0.00	0.99	0.00
isogroup23318	5	3.04	0.00	3.76	0.00
isogroup18557	2	3.02	0.00	3.38	0.00
isogroup26326	0	3.01	0.00	4.33	0.00
isogroup28401	0	3.01	0.00	2.29	0.00
isogroup22691	0	2.98	0.00	3.27	0.00
isogroup16213	0	2.98	0.01	2.01	0.00
isogroup3596	0	2.98	0.00	2.32	0.00
isogroup26725	0	2.97	0.00	3.82	0.00
isogroup16558	0	2.96	0.00	3.97	0.00
isogroup17762	0	2.95	0.00	4.52	0.00
isogroup19	0	2.95	0.00	3.07	0.00
isogroup15376	0	2.94	0.00	3.08	0.00
isogroup36	0	2.94	0.05	3.28	0.00
isogroup28891	0	2.93	0.00	3.09	0.00
isogroup8884	0	2.93	0.00	3.99	0.00
isogroup29265	0	2.93	0.00	3.40	0.00
isogroup21426	0	2.92	0.00	4.05	0.00
isogroup10152	2	2.92	0.00	3.15	0.00
isogroup21003	0	2.92	0.00	3.47	0.00
isogroup26806	1	2.91	0.00	3.00	0.00
isogroup994	0	2.90	0.00	3.20	0.00
isogroup25957	0	2.90	0.00	2.26	0.00
isogroup4893	0	2.89	0.00	2.80	0.00
isogroup23866	0	2.89	0.00	3.39	0.00
isogroup24707	2	2.87	0.00	3.35	0.00
isogroup11173	0	2.86	0.00	2.43	0.00
isogroup2930	2	2.85	0.00	3.72	0.00
isogroup4868	0	2.84	0.01	0.98	0.21
isogroup17580	0	2.84	0.00	2.05	0.00
isogroup3440	5	2.83	0.00	3.59	0.00
isogroup8851	0	2.81	0.02	0.71	NA
isogroup17157	3	2.81	0.00	3.15	0.00
isogroup1576	0	2.81	0.00	1.35	0.00
isogroup7474	0	2.81	0.00	0.74	0.24
isogroup20064	0	2.81	0.01	3.01	0.03
isogroup14664	0	2.81	0.00	2.65	0.00
isogroup21560	0	2.80	0.00	3.13	0.00
isogroup23042	0	2.80	0.03	2.74	0.02
isogroup22752	0	2.79	0.05	2.34	0.02
isogroup26801	1	2.79	0.00	2.84	0.00
isogroup17708	0	2.77	0.00	2.27	0.00
isogroup2958	0	2.76	0.00	3.22	0.00
isogroup16549	0	2.75	0.00	1.19	0.00
isogroup8911	0	2.75	0.00	2.97	0.00
isogroup2820	0	2.75	0.05	1.44	0.26
isogroup2127	0	2.73	0.00	2.29	0.00
isogroup26621	0	2.73	0.00	1.62	0.00
isogroup6153	0	2.72	0.00	1.53	0.00
isogroup21155	0	2.72	0.00	3.70	0.00
isogroup7924	0	2.71	0.00	2.96	0.00
isogroup16363	5	2.70	0.00	3.66	0.00
isogroup4013	0	2.69	0.00	0.98	0.00
isogroup5557	0	2.69	0.00	2.54	0.00
isogroup18794	1	2.67	0.00	2.65	0.00
isogroup8938	0	2.67	0.00	2.88	0.00
isogroup21089	0	2.66	0.00	3.13	0.00
isogroup3382	3	2.66	0.00	2.14	0.00
isogroup19027	2	2.65	0.00	3.20	0.00
isogroup15554	0	2.65	0.00	3.81	0.00
isogroup4398	0	2.65	0.00	3.09	0.00
isogroup18499	0	2.65	0.00	2.39	0.00
isogroup24549	0	2.64	0.00	2.94	0.00
isogroup26200	0	2.64	0.00	2.00	0.00
isogroup4760	0	2.64	0.00	3.86	0.00
isogroup29016	0	2.64	0.00	4.63	0.00
isogroup7815	0	2.63	0.00	2.52	0.00
isogroup13964	0	2.63	0.00	3.96	0.00
isogroup5249	0	2.63	0.00	3.59	0.00
isogroup3685	0	2.62	0.00	2.93	0.00
isogroup14649	0	2.62	0.00	3.38	0.00
isogroup12913	0	2.62	0.00	3.45	0.00
isogroup22416	0	2.61	0.00	3.99	0.00
