seq	term
1	NVE1	
2	NVE3	
3	NVE5	Replication, recombination and repair
4	NVE6	Intracellular trafficking, secretion, and vesicular transport
5	NVE7	Intracellular trafficking, secretion, and vesicular transport
6	NVE9	Energy production and conversion
7	NVE10	Carbohydrate transport and metabolism
8	NVE12	Posttranslational modification, protein turnover, chaperones
9	NVE15	Posttranslational modification, protein turnover, chaperones
10	NVE16	Posttranslational modification, protein turnover, chaperones
11	NVE17	Carbohydrate transport and metabolism
12	NVE17	Posttranslational modification, protein turnover, chaperones
13	NVE19	RNA processing and modification
14	NVE20	Secondary metabolites biosynthesis, transport and catabolism
15	NVE23	Posttranslational modification, protein turnover, chaperones
16	NVE24	Signal transduction mechanisms
17	NVE25	Translation, ribosomal structure and biogenesis
18	NVE30	Translation, ribosomal structure and biogenesis
19	NVE31	Energy production and conversion
20	NVE32	Intracellular trafficking, secretion, and vesicular transport
21	NVE35	Transcription
22	NVE35	Posttranslational modification, protein turnover, chaperones
23	NVE35	Signal transduction mechanisms
24	NVE37	Signal transduction mechanisms
25	NVE38	Carbohydrate transport and metabolism
26	NVE41	RNA processing and modification
27	NVE42	Inorganic ion transport and metabolism
28	NVE42	Signal transduction mechanisms
29	NVE43	Inorganic ion transport and metabolism
30	NVE44	Posttranslational modification, protein turnover, chaperones
31	NVE45	Translation, ribosomal structure and biogenesis
32	NVE47	Nucleotide transport and metabolism
33	NVE48	Carbohydrate transport and metabolism
34	NVE49	Cell wall/membrane/envelope biogenesis
35	NVE51	Signal transduction mechanisms
36	NVE57	Amino acid transport and metabolism
37	NVE59	Intracellular trafficking, secretion, and vesicular transport
38	NVE60	Intracellular trafficking, secretion, and vesicular transport
39	NVE61	Replication, recombination and repair
40	NVE62	Carbohydrate transport and metabolism
41	NVE63	Signal transduction mechanisms
42	NVE65	Signal transduction mechanisms
43	NVE66	Posttranslational modification, protein turnover, chaperones
44	NVE67	Intracellular trafficking, secretion, and vesicular transport
45	NVE68	Intracellular trafficking, secretion, and vesicular transport
46	NVE69	Translation, ribosomal structure and biogenesis
47	NVE70	Transcription
48	NVE71	Transcription
49	NVE73	
50	NVE76	Posttranslational modification, protein turnover, chaperones
51	NVE77	Signal transduction mechanisms
52	NVE78	Intracellular trafficking, secretion, and vesicular transport
