seq	term
1	isogroup13666	Transcription
2	isogroup13666	Replication, recombination and repair
3	isogroup13666	Signal transduction mechanisms
4	isogroup28336	
5	isogroup28801	Posttranslational modification, protein turnover, chaperones
6	isogroup8434	
7	isogroup27850	Transcription
8	isogroup10309	Signal transduction mechanisms
9	isogroup3509	Posttranslational modification, protein turnover, chaperones
10	isogroup1387	Chromatin structure and dynamics
11	isogroup1387	Cell cycle control, cell division, chromosome partitioning
12	isogroup12798	
13	isogroup9363	Translation, ribosomal structure and biogenesis
14	isogroup17145	Signal transduction mechanisms
15	isogroup26844	Secondary metabolites biosynthesis, transport and catabolism
16	isogroup18860	RNA processing and modification
17	isogroup4893	Posttranslational modification, protein turnover, chaperones
18	isogroup4893	Intracellular trafficking, secretion, and vesicular transport
19	isogroup14392	Posttranslational modification, protein turnover, chaperones
20	isogroup19720	Inorganic ion transport and metabolism
21	isogroup7022	
22	isogroup1244	Signal transduction mechanisms
23	isogroup1969	Carbohydrate transport and metabolism
24	isogroup1969	Cell wall/membrane/envelope biogenesis
25	isogroup2203	Posttranslational modification, protein turnover, chaperones
26	isogroup22305	
27	isogroup21215	Replication, recombination and repair
28	isogroup28828	Translation, ribosomal structure and biogenesis
29	isogroup15101	Signal transduction mechanisms
30	isogroup25867	Posttranslational modification, protein turnover, chaperones
31	isogroup23788	Signal transduction mechanisms
32	isogroup13334	Intracellular trafficking, secretion, and vesicular transport
33	isogroup11427	Posttranslational modification, protein turnover, chaperones
34	isogroup22961	Lipid transport and metabolism
35	isogroup26831	
36	isogroup20962	Signal transduction mechanisms
37	isogroup20962	Intracellular trafficking, secretion, and vesicular transport
38	isogroup1322	Posttranslational modification, protein turnover, chaperones
39	isogroup5804	Intracellular trafficking, secretion, and vesicular transport
40	isogroup9968	Signal transduction mechanisms
41	isogroup26002	
42	isogroup9961	Signal transduction mechanisms
43	isogroup9985	RNA processing and modification
44	isogroup18931	Posttranslational modification, protein turnover, chaperones
45	isogroup6327	Transcription
46	isogroup20873	Posttranslational modification, protein turnover, chaperones
47	isogroup13020	Inorganic ion transport and metabolism
48	isogroup13020	Signal transduction mechanisms
49	isogroup1203	Translation, ribosomal structure and biogenesis
50	isogroup4261	Signal transduction mechanisms
51	isogroup21881	Amino acid transport and metabolism
52	isogroup8	Signal transduction mechanisms
53	isogroup18469	Carbohydrate transport and metabolism
54	isogroup15700	Coenzyme transport and metabolism
55	isogroup11763	Lipid transport and metabolism
56	isogroup21091	Translation, ribosomal structure and biogenesis
57	isogroup19727	
58	isogroup27274	Nucleotide transport and metabolism
59	isogroup21234	Energy production and conversion
60	isogroup16073	Posttranslational modification, protein turnover, chaperones
61	isogroup8611	Signal transduction mechanisms
62	isogroup14419	Inorganic ion transport and metabolism
63	isogroup28829	Intracellular trafficking, secretion, and vesicular transport
64	isogroup12028	Transcription
65	isogroup24727	Translation, ribosomal structure and biogenesis
66	isogroup12882	Signal transduction mechanisms
67	isogroup13581	Signal transduction mechanisms
68	isogroup29187	
69	isogroup3419	
70	isogroup23416	Cell wall/membrane/envelope biogenesis
71	isogroup10430	Signal transduction mechanisms
72	isogroup15852	
73	isogroup13661	Cytoskeleton
74	isogroup7514	RNA processing and modification
75	isogroup39	
76	isogroup22355	Cytoskeleton
77	isogroup10300	Carbohydrate transport and metabolism
78	isogroup25719	Cytoskeleton
79	isogroup25854	Carbohydrate transport and metabolism
80	isogroup15984	Amino acid transport and metabolism
81	isogroup16583	Lipid transport and metabolism
82	isogroup15705	Secondary metabolites biosynthesis, transport and catabolism
83	isogroup4570	Posttranslational modification, protein turnover, chaperones
84	isogroup17244	Amino acid transport and metabolism
85	isogroup1	Cell wall/membrane/envelope biogenesis
86	isogroup16527	Energy production and conversion
87	isogroup12262	Carbohydrate transport and metabolism
88	isogroup28181	
89	isogroup15521	Lipid transport and metabolism
90	isogroup8100	Transcription
91	isogroup8600	Cell cycle control, cell division, chromosome partitioning
92	isogroup8537	Signal transduction mechanisms
93	isogroup18528	Cell cycle control, cell division, chromosome partitioning
94	isogroup23379	Intracellular trafficking, secretion, and vesicular transport
95	isogroup20059	
96	isogroup1517	
97	isogroup8941	Transcription
98	isogroup28725	
99	isogroup16716	Replication, recombination and repair
100	isogroup2808	Posttranslational modification, protein turnover, chaperones
101	isogroup1973	Chromatin structure and dynamics
102	isogroup25154	RNA processing and modification
103	isogroup19741	
104	isogroup9842	Carbohydrate transport and metabolism
105	isogroup14065	
106	isogroup12303	Posttranslational modification, protein turnover, chaperones
107	isogroup11707	Signal transduction mechanisms
108	isogroup4405	
109	isogroup21236	Posttranslational modification, protein turnover, chaperones
110	isogroup19096	Intracellular trafficking, secretion, and vesicular transport
111	isogroup23225	Posttranslational modification, protein turnover, chaperones
112	isogroup19986	Amino acid transport and metabolism
113	isogroup20	Translation, ribosomal structure and biogenesis
114	isogroup9808	Amino acid transport and metabolism
115	isogroup14328	Signal transduction mechanisms
116	isogroup14328	Intracellular trafficking, secretion, and vesicular transport
117	isogroup15741	Translation, ribosomal structure and biogenesis
118	isogroup20046	Energy production and conversion
119	isogroup26367	Transcription
120	isogroup16278	Amino acid transport and metabolism
121	isogroup16278	Inorganic ion transport and metabolism
122	isogroup16278	Signal transduction mechanisms
123	isogroup25968	Nucleotide transport and metabolism
124	isogroup23983	
125	isogroup21732	Translation, ribosomal structure and biogenesis
126	isogroup17107	Intracellular trafficking, secretion, and vesicular transport
127	isogroup7247	Lipid transport and metabolism
128	isogroup413	Nucleotide transport and metabolism
129	isogroup21649	Signal transduction mechanisms
130	isogroup28667	Intracellular trafficking, secretion, and vesicular transport
131	isogroup16037	RNA processing and modification
132	isogroup7634	Intracellular trafficking, secretion, and vesicular transport
133	isogroup7634	Nuclear structure
134	isogroup8754	Posttranslational modification, protein turnover, chaperones
135	isogroup2522	Cell wall/membrane/envelope biogenesis
136	isogroup11754	Replication, recombination and repair
137	isogroup17102	Cytoskeleton
138	isogroup10083	Posttranslational modification, protein turnover, chaperones
139	isogroup5922	Transcription
