seq	term
Oarb_100037_c0_g1	"Inorganic ion transport and metabolism"
Oarb_100054_c2_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_100054_c2_g3	"Cell cycle control, cell division, chromosome partitioning"
Oarb_100106_c0_g1	""
Oarb_100115_c0_g1	"Signal transduction mechanisms"
Oarb_100183_c0_g1	"Energy production and conversion"
Oarb_100214_c0_g1	""
Oarb_100214_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100218_c0_g1	"RNA processing and modification"
Oarb_100268_c0_g1	"Cytoskeleton"
Oarb_100277_c0_g1	"Amino acid transport and metabolism"
Oarb_100314_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100343_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100352_c0_g1	"RNA processing and modification"
Oarb_100473_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100478_c0_g1	""
Oarb_100484_c0_g1	"Cytoskeleton"
Oarb_100547_c0_g1	"Signal transduction mechanisms"
Oarb_100563_c0_g1	"Replication, recombination and repair"
Oarb_100565_c1_g2	"Signal transduction mechanisms"
Oarb_100649_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_100728_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_100766_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_100766_c0_g1	"Transcription"
Oarb_100791_c0_g1	"RNA processing and modification"
Oarb_100795_c2_g3	"Carbohydrate transport and metabolism"
Oarb_100858_c0_g1	"Carbohydrate transport and metabolism"
Oarb_100867_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100868_c0_g1	"Signal transduction mechanisms"
Oarb_100872_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_100874_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_100998_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_101089_c0_g1	"Lipid transport and metabolism"
Oarb_101155_c1_g1	"Chromatin structure and dynamics"
Oarb_101155_c2_g1	"Chromatin structure and dynamics"
Oarb_101161_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_101164_c0_g1	"Signal transduction mechanisms"
Oarb_101171_c0_g1	"Replication, recombination and repair"
Oarb_101223_c0_g1	"Carbohydrate transport and metabolism"
Oarb_101228_c1_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_101228_c1_g2	"Signal transduction mechanisms"
Oarb_101268_c0_g1	"Cytoskeleton"
Oarb_101279_c4_g1	""
Oarb_101337_c0_g1	"Cytoskeleton"
Oarb_101409_c1_g2	"Replication, recombination and repair"
Oarb_101461_c5_g1	""
Oarb_101461_c6_g1	"Translation, ribosomal structure and biogenesis"
Oarb_101473_c0_g1	"Signal transduction mechanisms"
Oarb_101476_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_101483_c0_g1	"Cytoskeleton"
Oarb_101508_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_101535_c0_g1	""
Oarb_101564_c0_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_101581_c4_g1	"Replication, recombination and repair"
Oarb_101630_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_101659_c3_g1	""
Oarb_101672_c1_g1	"Signal transduction mechanisms"
Oarb_101687_c0_g1	"Signal transduction mechanisms"
Oarb_101700_c0_g2	"Chromatin structure and dynamics"
Oarb_101762_c0_g1	"Cytoskeleton"
Oarb_101762_c0_g1	"Signal transduction mechanisms"
Oarb_101775_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_101781_c0_g1	"Cytoskeleton"
Oarb_101815_c0_g1	"Signal transduction mechanisms"
Oarb_101818_c4_g2	"Translation, ribosomal structure and biogenesis"
Oarb_101836_c0_g1	"Cytoskeleton"
Oarb_101853_c0_g1	"Inorganic ion transport and metabolism"
Oarb_101989_c0_g1	"Signal transduction mechanisms"
Oarb_102002_c0_g1	"Signal transduction mechanisms"
Oarb_102036_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_102050_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_102055_c0_g1	"Energy production and conversion"
Oarb_102060_c2_g1	"Signal transduction mechanisms"
Oarb_102109_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_102140_c0_g1	"Cytoskeleton"
Oarb_102158_c0_g1	"Signal transduction mechanisms"
Oarb_102159_c2_g1	""
Oarb_102185_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_102289_c0_g2	"RNA processing and modification"
Oarb_102299_c0_g1	"Replication, recombination and repair"
Oarb_102344_c1_g1	""
Oarb_102360_c0_g1	"Cytoskeleton"
Oarb_102404_c2_g2	"Replication, recombination and repair"
Oarb_102450_c1_g2	"Signal transduction mechanisms"
Oarb_102476_c0_g1	"Signal transduction mechanisms"
Oarb_102495_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_102517_c9_g1	"Transcription"
Oarb_102529_c2_g1	"Signal transduction mechanisms"
Oarb_102578_c6_g1	"Amino acid transport and metabolism"
Oarb_102665_c1_g1	"Replication, recombination and repair"
Oarb_102666_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_102682_c5_g1	"Transcription"
Oarb_102704_c3_g1	"Cytoskeleton"
Oarb_102748_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_102761_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_102767_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_102862_c7_g1	"Translation, ribosomal structure and biogenesis"
Oarb_102899_c1_g2	"Transcription"
Oarb_102977_c0_g1	"Inorganic ion transport and metabolism"
Oarb_102990_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103009_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_103010_c1_g1	"RNA processing and modification"
Oarb_103012_c3_g3	"Signal transduction mechanisms"
Oarb_103012_c7_g2	"Chromatin structure and dynamics"
Oarb_103048_c1_g1	"Inorganic ion transport and metabolism"
